Grapheme	IPA
gā́	g a a
au̯apákie̠ka	a w a p a k i ɛ k a
gá	g a
pukupúkuliga	p u k u p u k u ɺ i g a
tóatole	t ɔ a t ɔ ɺ e
yaputásie	j a p u t a s i e
ã̄ã̄́	ã ã ã ã
ā́ēlē	a a e e ɺ e e
ā́kaka	a a k a k a
hā́kia	h a a k i a
ā́lubu	a a ɺ u b u
nikópika	n i k ɔ p i k a
díaōlero	d i a ɔ ɔ ɺ e ɾ ɔ
ã̄nyã́pakeaka	ã ã ɲ ã p a k e a k a
ãyẽ́hāke̥	ã j ẽ h a a k ɨ
pē̠yó	p ɛ ɛ j ɔ
uānataí	w a a n a t a i
minimãẽ	m i n i m ã ẽ
mīrá	m i i ɾ a
uiyága	w i j a g a
uaíhia	w a i h i a
nyī́nimi	ɲ i i n i m i
yī́ya	j i i j a
né̠ya	n ɛ j a
tópile̠	t ɔ p i ɺ ɛ
yī́	j i i
né̠iya	n ɛ i j a
yē̠yéāē	j ɛ ɛ j e a a e e
yī́yī	j i i j i i
yainé̠iye	j a i n ɛ i j e
yáitopike̥	j a i t ɔ p i k ɨ
yainé̠iya	j a i n ɛ i j a
bī́ka	b i i k a
kanyíríka	k a ɲ i ɾ i k a
di	d i
yadí	j a d i
diué̠a	d i w ɛ a
líē̠ri	ɺ i ɛ ɛ ɾ i
gṓli	g ɔ ɔ ɺ i
góo	g ɔ ɔ
yapuōliká	j a p u ɔ ɔ ɺ i k a
yasḗ̠bo	j a s ɛ ɛ b ɔ
puhúai̯e̥	p u h u a j ɨ
buxhū́lu	b u h u u ɺ u
puhúlu	p u h u ɺ u
pū́puaga	p u u p u a g a
ḥé̥ḥoio	h ɨ h ɔ j ɔ
buxhū́ru	b u h u u ɾ u
pū́puoga	p u u p u ɔ g a
buḥū́ru	b u h u u ɾ u
uáxkali	w a h k a ɺ i
uaká	w a k a
póakaga	p ɔ a k a g a
he̥ḥóākia	h ɨ h ɔ a a k i a
yatsā́li	j a ts a a ɺ i
tsé̥me̥oa	ts ɨ m ɨ ɔ a
himíane̠í	h i m i a n ɛ i
te̥mé̥ne̠	t ɨ m ɨ n ɛ
hī'mía	h i i ʔ m i a
mahapṓua	m a h a p ɔ ɔ w a
makiátāre̥	m a k i a t a a ɾ ɨ
maxkápinu	m a h k a p i n u
dexpé̥	d e h p ɨ
yadúḥe̥	j a d u h ɨ
dipau̯íya	d i p a w i j a
siḥī́re	s i h i i ɾ e
dipau̯ía	d i p a w i a
goá	g ɔ a
yaúe	j a w e
ōá	ɔ ɔ a
sikoā́ri	s i k ɔ a a ɾ i
taā́pipái	t a a a p i p a i
buiríbe̠ro	b u i ɾ i b ɛ ɾ ɔ
patupái	p a t u p a i
te̠mupái	t ɛ m u p a i
pā́tola	p a a t ɔ ɺ a
te̠mupáy	t ɛ m u p a j e
gaxpipáxtsula	g a h p i p a h ts u ɺ a
buirikano	b u i ɾ i k a n ɔ
ohókomono	ɔ h ɔ k ɔ m ɔ n ɔ
mámala	m a m a ɺ a
siī́ṅgee̥	s i i i ŋ g e ɨ
hu'tšía	h u ʔ tʃ i a
hihohutía	h i h ɔ h u t i a
lupué̠me̥oka	ɺ u p u ɛ m ɨ ɔ k a
dupué̠me̥oka	d u p u ɛ m ɨ ɔ k a
uaxtíke̠ru	w a h t i k ɛ ɾ u
pī́nu	p i i n u
ãyã́ḥāke̥	ã j ã h a a k ɨ
yuxké̥de̥xpé̥	j u h k ɨ d ɨ h p ɨ
yapuhḗ̠rika	j a p u h ɛ ɛ ɾ i k a
tulapu̠nī́ka	t u ɺ a p ʊ n i i k a
tulapu̠lī́ka	t u ɺ a p ʊ ɺ i i k a
axpī́ro	a h p i i ɾ ɔ
óxpe̥le̥	ɔ h p ɨ ɺ ɨ
síḥuḥē̠re̥	s i h u h ɛ ɛ ɾ ɨ
tsīunduxhā́ko	ts i i u n d u h a a k ɔ
dyiaká	dʒ i a k a
tsioaíni	ts i ɔ a i n i
yee̥tī́niyo	j e ɨ t i i n i j ɔ
yidiatáyu	j i d i a t a j u
iateanié̠l	j a t e a n i ɛ ɺ
yidiatáye̥	j i d i a t a j ɨ
airike̠	a i ɾ i k ɛ
ā́ge̥	a a g ɨ
dex̯kó	d e h k ɔ
de̠ko	d ɛ k ɔ
ai̯uálisú	a j u a ɺ i s u
ai̯riké	a i ɾ i k e
ai̯uálisu	a j u a ɺ i s u
ai̯uálix̯u	a j u a ɺ i tʃ u
pē̠ráma	p ɛ ɛ ɾ a m a
diámaka	d i a m a k a
liámaka	ɺ i a m a k a
nihá	n i h a
yimā́'mi	j i m a a ʔ m i
sínehine̠	s i n e h i n ɛ
yébaxsulina	j e b a h s u ɺ i n a
yuamahí	j u a m a h i
ehéai̯yā	e h e a i j a a
móhóe̠li	m ɔ h ɔ ɛ ɺ i
houo̯úo	h ɔ w ɔ u ɔ
goxtx̯e̠ātx̯é̥	g ɔ h tʃ ɛ a a tʃ ɨ
pṓgolu	p ɔ ɔ g ɔ ɺ u
pógolo	p ɔ g ɔ ɺ ɔ
pī́naka	p i i n a k a
laúariko	ɺ a u a ɾ i k ɔ
pṓgoru	p ɔ ɔ g ɔ ɾ u
gōrópe̠ru	g ɔ ɔ ɾ ɔ p ɛ ɾ u
ge̥rápe̠	g ɨ ɾ a p ɛ
yopé̠a	j ɔ p ɛ a
síaḥu̠	s i a h ʊ
gōlópe̠ru	g ɔ ɔ ɺ ɔ p ɛ ɾ u
bōrá	b ɔ ɔ ɾ a
botá	b ɔ t a
bōlá	b ɔ ɔ ɺ a
