Grapheme	IPA
tā́bolero	t a a b ɔ ɺ e ɾ ɔ
gāme̠káni	g a a m ɛ k a n i
ueī́dihi	w e i i d i h i
yihínyu	j i h i ɲ u
táponi	t a p ɔ n i
yihínye̥	j i h i ɲ ɨ
uaihī́ro	w a i h i i ɾ ɔ
kihī́roa	k i h i i ɾ ɔ a
mahā́poali	m a h a a p ɔ a ɺ i
yamáhapoa	j a m a h a p ɔ a
uibáy	w i b a j e
mā́hoi̯re̥	m a a h ɔ i ɾ ɨ
mohṓtseri	m ɔ h ɔ ɔ ts e ɾ i
dix̯pelu	d i h p e ɺ u
muhúatx̯u	m u h u a tʃ u
pitauaḥoa	p i t a w a h ɔ a
simaoi̯e	s i m a ɔ j e
muhúuasu	m u h u u a s u
muhúuatse̠ru	m u h u u a ts ɛ ɾ u
mohṓtsirupē̠ru	m ɔ h ɔ ɔ ts i ɾ u p ɛ ɛ ɾ u
muhúgati	m u h u g a t i
simaoráso	s i m a ɔ ɾ a s ɔ
pē̠ā́me	p ɛ ɛ a a m e
pie̥le̥	p i ɨ ɺ ɨ
pē̠ká	p ɛ ɛ k a
hḗ̠hie̠kie̥	h ɛ ɛ h i ɛ k i ɨ
uē̠ré̠no	w ɛ ɛ ɾ ɛ n ɔ
ue̠nia	w ɛ n i a
uē̠lé̠no	w ɛ ɛ ɺ ɛ n ɔ
gaxbitū̠ge̥	g a h b i t ʊ ʊ g ɨ
tāpía	t a a p i a
pē̠á	p ɛ ɛ a
hḗ̠kie̠ri	h ɛ ɛ k i ɛ ɾ i
uái	w a i
uaie	w a j e
uaire̥	w a i ɾ ɨ
ālitsé̠tse̠a	a a ɺ i ts ɛ ts ɛ a
úai̯ru	w a i ɾ u
uaiōā	w a j ɔ ɔ a a
uáigṓā	w a i g ɔ ɔ a a
uaiuaká	w a i w a k a
uaikuā́re̥	w a i k u a a ɾ ɨ
uhē̠rí	u h ɛ ɛ ɾ i
bix̯táx̯e̥	b i h t a tʃ ɨ
mipotabā́be̠	m i p ɔ t a b a a b ɛ
okohé̠	ɔ k ɔ h ɛ
potákano	p ɔ t a k a n ɔ
uhḗ̠riru	u h ɛ ɛ ɾ i ɾ u
bitai̯góp̌e̠ka	b i t a i g ɔ ɸ ɛ k a
koḥé̠liri	k ɔ h ɛ ɺ i ɾ i
uhḗrike	u h e e ɾ i k e
uáikóaya	w a i k ɔ a j a
máhāpu	m a h a a p u
uapúa	w a p u a
uhḗ̠ku̠ru̠	u h ɛ ɛ k ʊ ɾ ʊ
náxkala	n a h k a ɺ a
popóloka	p ɔ p ɔ ɺ ɔ k a
te̥lolípuku	t ɨ ɺ ɔ ɺ i p u k u
ōé̠	ɔ ɔ ɛ
tā́bole	t a a b ɔ ɺ e
itope̠ḥálika	i t ɔ p ɛ h a ɺ i k a
tā́bore	t a a b ɔ ɾ e
dix̯sī́nome̠	d i h s i i n ɔ m ɛ
yīmasaṅẽ́ẽ	j i i m a s a ŋ ẽ ẽ
kṓle̠nika	k ɔ ɔ ɺ ɛ n i k a
hohṓkia	h ɔ h ɔ ɔ k i a
dī́ro	d i i ɾ ɔ
yadíi	j a d i i
diia	d i i a
sikiaī́re̥	s i k i a i i ɾ ɨ
oxhoamī́	ɔ h ɔ a m i i
be̥xkádyi	b ɨ h k a dʒ i
huamá	h u a m a
kotáte̠te̠a	k ɔ t a t ɛ t ɛ a
ue̥li	w ɨ ɺ i
ué̥li	w ɨ ɺ i
tsauī́dye̥	ts a w i i dʒ ɨ
ké̥ue̠i	k ɨ w ɛ i
tsauī́dyu	ts a w i i dʒ u
moámala	m ɔ a m a ɺ a
namátsika	n a m a ts i k a
namásiga	n a m a s i g a
gubū́pama	g u b u u p a m a
gé̥apa	g ɨ a p a
ūpúa	u u p u a
sikoxú̠la	s i k ɔ h ʊ ɺ a
ōpúa	ɔ ɔ p u a
nyī̃ã́ẽõã	ɲ ĩ ĩ ã ẽ ɔ̃ ã
uyī̃ṅã́ẽõã	u j ĩ ĩ ŋ ã ẽ ɔ̃ ã
tsiupū́liru	ts i u p u u ɺ i ɾ u
hóatanikipi	h ɔ a t a n i k i p i
diapu	d i a p u
de̥xpé̥li	d ɨ h p ɨ ɺ i
sikoayéke̥	s i k ɔ a j e k ɨ
nē̃ē̃́	n ẽ ẽ ẽ ẽ
makáge̥	m a k a g ɨ
makáka	m a k a k a
mākiálokē̠re̥	m a a k i a ɺ ɔ k ɛ ɛ ɾ ɨ
yoā́limhi	j ɔ a a ɺ i m h i
sarasára	s a ɾ a s a ɾ a
bōlēró	b ɔ ɔ ɺ e e ɾ ɔ
bulḗ̠ro	b u ɺ ɛ ɛ ɾ ɔ
bulé̠ru	b u ɺ ɛ ɾ u
uayáule̠ru	w a j a u ɺ ɛ ɾ u
uayáule̠ruka	w a j a u ɺ ɛ ɾ u k a
nokolī́yau̯a	n ɔ k ɔ ɺ i i j a w a
íná	i n a
tsahá	ts a h a
láho	ɺ a h ɔ
téa	t e a
dáho	d a h ɔ
ōmá	ɔ ɔ m a
úma	u m a
ūmáka	u u m a k a
tṓnyako	t ɔ ɔ ɲ a k ɔ
tṓniaka	t ɔ ɔ n i a k a
pāyamóalika	p a a j a m ɔ a ɺ i k a
mā́kela	m a a k e ɺ a
mā́kena	m a a k e n a
hógoro	h ɔ g ɔ ɾ ɔ
yuxke̥de̥xká	j u h k ɨ d ɨ h k a
yabúdiga	j a b u d i g a
toké̥likē̠re̥	t ɔ k ɨ ɺ i k ɛ ɛ ɾ ɨ
yabúdigá	j a b u d i g a
ohóte̥liri	ɔ h ɔ t ɨ ɺ i ɾ i
móya	m ɔ j a
pusíḥae̠	p u s i h a ɛ
buhī́bāge̥	b u h i i b a a g ɨ
áue̠túua	a w ɛ t u u a
ayaká	a j a k a
hiadyaāníke̠ka	h i a dʒ a a a n i k ɛ k a
haiakulísi	h a j a k u ɺ i s i
kōlá	k ɔ ɔ ɺ a
kōrá	k ɔ ɔ ɾ a
būgú	b u u g u
yapú	j a p u
ue̠ága	w ɛ a g a
hū́niupu̠	h u u n i u p ʊ
uex̯képamu	w e h k e p a m u
ui̯ke̥pamólo	w i k ɨ p a m ɔ ɺ ɔ
kapilíyaka	k a p i ɺ i j a k a
he̠tókie̥	h ɛ t ɔ k i ɨ
gālé̥	g a a ɺ ɨ
anía	a n i a
āníe	a a n i e
mā́be̥ga	m a a b ɨ g a
bikinínomo	b i k i n i n ɔ m ɔ
pṓnakeli	p ɔ ɔ n a k e ɺ i
oā́li	ɔ a a ɺ i
kū́li	k u u ɺ i
uanúame̠pe̠	w a n u a m ɛ p ɛ
uanúame̠be̠	w a n u a m ɛ b ɛ
oā́pu̠nīka	ɔ a a p ʊ n i i k a
hiá	h i a
híāḥe̠	h i a a h ɛ
oā́pu̠līka	ɔ a a p ʊ ɺ i i k a
yépanameo̯	j e p a n a m e ɔ
yēyex̯ké̥pe̥xkero	j e e j e h k ɨ p ɨ h k e ɾ ɔ
guú	g u u
pā́kie̠ki	p a a k i ɛ k i
sī́ke̥	s i i k ɨ
mé̠abe̥lo	m ɛ a b ɨ ɺ ɔ
soi	s ɔ i
pā́kiako	p a a k i a k ɔ
sī́ko	s i i k ɔ
mé̠abe̥ro	m ɛ a b ɨ ɾ ɔ
yépanami	j e p a n a m i
dā́	d a a
tā́	t a a
tāyá	t a a j a
táyare̥	t a j a ɾ ɨ
táiāre̥	t a j a a ɾ ɨ
pōlē̠ró	p ɔ ɔ ɺ ɛ ɛ ɾ ɔ
nyémi	ɲ e m i
nyimía	ɲ i m i a
yé̥mi	j ɨ m i
maxsā́gobe̠	m a h s a a g ɔ b ɛ
yatsā́liye̠	j a ts a a ɺ i j ɛ
hīmitáka	h i i m i t a k a
te̥me̥né̠la	t ɨ m ɨ n ɛ ɺ a
hādyúa	h a a dʒ u a
kōlólu	k ɔ ɔ ɺ ɔ ɺ u
koló	k ɔ ɺ ɔ
ḳoákuru	k ɔ a k u ɾ u
likókoto	ɺ i k ɔ k ɔ t ɔ
kōróru	k ɔ ɔ ɾ ɔ ɾ u
koró	k ɔ ɾ ɔ
yuxké̥kāya	j u h k ɨ k a a j a
uaikaya	w a i k a j a
neāyá	n e a a j a
ā́hia	a a h i a
háte̥ri	h a t ɨ ɾ i
tsoe̠bā́li	ts ɔ ɛ b a a ɺ i
tx̯óe̠i̯	tʃ ɔ ɛ i
mix̯hoe̠be̠	m i h ɔ ɛ b ɛ
u̠hé̠kialó	ʊ h ɛ k i a ɺ ɔ
uxsípūli	u h s i p u u ɺ i
nix̯kú	n i h k u
titá	t i t a
kaía	k a i a
kiáire̥	k i a i ɾ ɨ
ka'ía	k a ʔ i a
pūlīrí	p u u ɺ i i ɾ i
be̥gáli	b ɨ g a ɺ i
guāli	g u a a ɺ i
yé̥ulagai	j ɨ u ɺ a g a i
kóe̠x̯u	k ɔ ɛ tʃ u
otolatosé	ɔ t ɔ ɺ a t ɔ s e
kālamhé	k a a ɺ a m h e
makaúe̠dya	m a k a u ɛ dʒ a
mālé̠a	m a a ɺ ɛ a
mā́lai̯e̥	m a a ɺ a j ɨ
pé̠age̥	p ɛ a g ɨ
pé̠a	p ɛ a
pe̠ká	p ɛ k a
hé̠kiakia	h ɛ k i a k i a
pe̠ánhua	p ɛ a n h u a
pé̠anuku	p ɛ a n u k u
pe̠káua	p ɛ k a w a
he̠kiakiáḥuāliri	h ɛ k i a k i a h u a a ɺ i ɾ i
pe̠káue̯	p ɛ k a w ɛ
yemétuli	j e m e t u ɺ i
póali	p ɔ a ɺ i
lu̠pú̠komihia	ɺ ʊ p ʊ k ɔ m i h i a
sī́roḥōre	s i i ɾ ɔ h ɔ ɔ ɾ e
de̥pókomihia	d ɨ p ɔ k ɔ m i h i a
de̠kapá	d ɛ k a p a
tokíaḥu	t ɔ k i a h u
pṹẽ	p ũ ẽ
púe	p u e
páua	p a w a
ḥā́e	h a a e
pũẽ́	p ũ ẽ
puekā́lu	p u e k a a ɺ u
paukáno	p a u k a n ɔ
múhu	m u h u
pí'taka	p i ʔ t a k a
símaḥumpu	s i m a h u m p u
sālítae̠ga	s a a ɺ i t a ɛ g a
hahaniká	h a h a n i k a
puítsamu	p u i ts a m u
be̥lípu̠nīka	b ɨ ɺ i p ʊ n i i k a
bé̥ka	b ɨ k a
se̠kā́noa	s ɛ k a a n ɔ a
inayḗ̠ná	i n a j ɛ ɛ n a
yee̥tsíe̠i̯	j e ɨ ts i ɛ i
mambuālí	m a m b u a a ɺ i
tā'há	t a a ʔ h a
lé̠lé̠a	ɺ ɛ ɺ ɛ a
iṅé̥	i ŋ ɨ
íge̥	i g ɨ
āpiká	a a p i k a
aháke̥	a h a k ɨ
dex̯pū́ru	d e h p u u ɾ u
kúe̥le̥	k u ɨ ɺ ɨ
lu̠pu̠kóa	ɺ ʊ p ʊ k ɔ a
sī́roḥo	s i i ɾ ɔ h ɔ
le̥pokóa	ɺ ɨ p ɔ k ɔ a
de̥pokóa	d ɨ p ɔ k ɔ a
naxsiṅgurútsuame̠	n a h s i ŋ g u ɾ u ts u a m ɛ
tsiúpona	ts i u p ɔ n a
yáoama	j a ɔ a m a
ṓnimakia	ɔ ɔ n i m a k i a
siamé̠kia	s i a m ɛ k i a
tsōnyimakía	ts ɔ ɔ ɲ i m a k i a
ne̥xké̥lika	n ɨ h k ɨ ɺ i k a
ni'kía	n i ʔ k i a
gubū́liru	g u b u u ɺ i ɾ u
ūputī́ka	u u p u t i i k a
íye̠	i j ɛ
oó	ɔ ɔ
hóhona	h ɔ h ɔ n a
e̥mãẽ́gero	ɨ m ã ẽ g e ɾ ɔ
uáyalidā	w a j a ɺ i d a a
yapḗ̠romisi	j a p ɛ ɛ ɾ ɔ m i s i
oahokálo	ɔ a h ɔ k a ɺ ɔ
u̠atóua	w a t ɔ w a
ĩ̄ṅẽyábe̠ro	ĩ ĩ ŋ ẽ j a b ɛ ɾ ɔ
ige̥yapātupáhi	i g ɨ j a p a a t u p a h i
apikaliká	a p i k a ɺ i k a
te̠muyī́liuiia	t ɛ m u j i i ɺ i w i i a
ahaké̥patolo	a h a k ɨ p a t ɔ ɺ ɔ
kinumu	k i n u m u
gōbé̠	g ɔ ɔ b ɛ
ga'minógobe̠	g a ʔ m i n ɔ g ɔ b ɛ
āmóakakope̠a	a a m ɔ a k a k ɔ p ɛ a
dix̯sipuligobe̠	d i h s i p u ɺ i g ɔ b ɛ
hātíkope̠a	h a a t i k ɔ p ɛ a
ṓme̠kenikope̠a	ɔ ɔ m ɛ k e n i k ɔ p ɛ a
taā́piūlikukia	t a a a p i u u ɺ i k u k i a
yaxhigoa	j a h i g ɔ a
mōmé̠	m ɔ ɔ m ɛ
múmi	m u m i
mimía	m i m i a
kianáḥe̠le̠ke̠re̥	k i a n a h ɛ ɺ ɛ k ɛ ɾ ɨ
muipái	m u i p a i
bū́tumaa	b u u t u m a a
yuiró	j u i ɾ ɔ
wií	w i i
uiíya	w i i j a
ué̥ri	w ɨ ɾ i
ué̥le̥	w ɨ ɺ ɨ
ue̥é̥le̥	w ɨ ɨ ɺ ɨ
uiía	w i i a
ōrá	ɔ ɔ ɾ a
īsí	i i s i
ḗsi	e e s i
mīmí	m i i m i
mimi	m i m i
oálala	ɔ a ɺ a ɺ a
uhē̠ráhoali	u h ɛ ɛ ɾ a h ɔ a ɺ i
tx̯akáuiīx̯u	tʃ a k a w i i i tʃ u
ke̥tōniáse̥	k ɨ t ɔ ɔ n i a s ɨ
yégolope̥	j e g ɔ ɺ ɔ p ɨ
yinū́mu	j i n u u m u
yégorope̥	j e g ɔ ɾ ɔ p ɨ
yií	j i i
yéhe̥	j e h ɨ
yee̥bóodyée̥	j e ɨ b ɔ ɔ dʒ e ɨ
yayé̥ipahi	j a j ɨ i p a h i
mé̥e̥pe̠e̠	m ɨ ɨ p ɛ ɛ
nii	n i i
yé̥isu	j ɨ i s u
yee̥uaatoho	j e ɨ w a a t ɔ h ɔ
yée̥	j e ɨ
yibáukuni	j i b a u k u n i
kalī́x̯e̥	k a ɺ i i tʃ ɨ
kānioi̯yā́ni	k a a n i ɔ i j a a n i
uáge̥	w a g ɨ
apé̠na	a p ɛ n a
mikā́be̠	m i k a a b ɛ
hõkiahá	h ɔ̃ k i a h a
ix̯é̥	i tʃ ɨ
tūyadīyee̥	t u u j a d i i j e ɨ
dopágola	d ɔ p a g ɔ ɺ a
wiikaluxkáke̠	w i i k a ɺ u h k a k ɛ
oóe̠ka	ɔ ɔ ɛ k a
tsabe̠óe̠ka	ts a b ɛ ɔ ɛ k a
mé̠ne̠pikahe̠a	m ɛ n ɛ p i k a h ɛ a
díalu	d i a ɺ u
ūpupé̠ta	u u p u p ɛ t a
ītapitia	i i t a p i t i a
se̠mokoloaígabi	s ɛ m ɔ k ɔ ɺ ɔ a i g a b i
kōme̠tsoró	k ɔ ɔ m ɛ ts ɔ ɾ ɔ
nē̃ē̃no	n ẽ ẽ ẽ ẽ n ɔ
titapurú	t i t a p u ɾ u
hṓmulika	h ɔ ɔ m u ɺ i k a
kíaito	k i a i t ɔ
titapulú	t i t a p u ɺ u
oā́lioaa	ɔ a a ɺ i ɔ a a
uālioaa	w a a ɺ i ɔ a a
tóaka	t ɔ a k a
méha	m e h a
diábāli	d i a b a a ɺ i
diadyúi	d i a dʒ u i
ānyáka	a a ɲ a k a
hā́ya	h a a j a
tūpía	t u u p i a
būlirí	b u u ɺ i ɾ i
bulī́x̯u	b u ɺ i i tʃ u
mihomita̠úabe̠	m i h ɔ m i t ɑ u a b ɛ
húhea	h u h e a
bulī́x̯e̥	b u ɺ i i tʃ ɨ
pé̠ru	p ɛ ɾ u
báapayau̯alu	b a a p a j a w a ɺ u
hīsínoko	h i i s i n ɔ k ɔ
kíasiri	k i a s i ɾ i
pē̠yáru	p ɛ ɛ j a ɾ u
báapayau̯aru	b a a p a j a w a ɾ u
pē̠yálu	p ɛ ɛ j a ɺ u
uhē̠ní	u h ɛ ɛ n i
bṓlē̠x̯u	b ɔ ɔ ɺ ɛ ɛ tʃ u
mihábe̠	m i h a b ɛ
ké̥liase̥	k ɨ ɺ i a s ɨ
bṓlē̠x̯e̥	b ɔ ɔ ɺ ɛ ɛ tʃ ɨ
yālix̯kapu	j a a ɺ i h k a p u
ge̥tx̯agúu	g ɨ tʃ a g u u
nyikalupúa	ɲ i k a ɺ u p u a
siukúye̠hu	s i u k u j ɛ h u
yikadípu	j i k a d i p u
yuláseri	j u ɺ a s e ɾ i
mā́du̠mhi	m a a d ʊ m h i
yé̥ipai	j ɨ i p a i
uīropái	w i i ɾ ɔ p a i
ué̥ta	w ɨ t a
uahutakóa	w a h u t a k ɔ a
dix̯tálu	d i h t a ɺ u
titāla	t i t a a ɺ a
ritāre̥	ɾ i t a a ɾ ɨ
uē̠ré̠nĩīnĩ̄	w ɛ ɛ ɾ ɛ n ĩ i i n ĩ ĩ
maagóxko	m a a g ɔ h k ɔ
oká	ɔ k a
ue̥alṓgelo	w ɨ a ɺ ɔ ɔ g e ɺ ɔ
paḥáya	p a h a j a
ho'baká	h ɔ ʔ b a k a
háne̠	h a n ɛ
tsī́bulu	ts i i b u ɺ u
pe̠pé̠a	p ɛ p ɛ a
tsī́buru	ts i i b u ɾ u
tsīrúli	ts i i ɾ u ɺ i
yáegé̥le̥	j a e g ɨ ɺ ɨ
bīkaripe̠pe̠	b i i k a ɾ i p ɛ p ɛ
tī́lōri	t i i ɺ ɔ ɔ ɾ i
mikalípe̠pe̠	m i k a ɺ i p ɛ p ɛ
yoxkátsolo	j ɔ h k a ts ɔ ɺ ɔ
yoxkátsoro	j ɔ h k a ts ɔ ɾ ɔ
hotopakie̠ká	h ɔ t ɔ p a k i ɛ k a
te̠ube̠hó	t ɛ u b ɛ h ɔ
kobé̠rokoa	k ɔ b ɛ ɾ ɔ k ɔ a
uahubolituga	w a h u b ɔ ɺ i t u g a
iádyiri	j a dʒ i ɾ i
yiípi	j i i p i
yḗ̠yu	j ɛ ɛ j u
hóhihi	h ɔ h i h i
yḗ̠ye̥	j ɛ ɛ j ɨ
pū́	p u u
pūnyúa	p u u ɲ u a
yṓkiare̥	j ɔ ɔ k i a ɾ ɨ
kopé̥	k ɔ p ɨ
gaxkoaní	g a h k ɔ a n i
kā́kope̠na	k a a k ɔ p ɛ n a
kiakṓre̥āre̥	k i a k ɔ ɔ ɾ ɨ a a ɾ ɨ
kiakṓrāre̥	k i a k ɔ ɔ ɾ a a ɾ ɨ
ué̠koa	w ɛ k ɔ a
tsaháme̥	ts a h a m ɨ
malā́bē̠na	m a ɺ a a b ɛ ɛ n a
nomi	n ɔ m i
be̥kákui	b ɨ k a k u i
tse̥ā́	ts ɨ a a
mísi	m i s i
mihía	m i h i a
mix̯sire̥	m i h s i ɾ ɨ
míx̯si	m i h s i
kālaue̯lī́na	k a a ɺ a w e ɺ i i n a
kóalime̠e̠be̠	k ɔ a ɺ i m ɛ ɛ b ɛ
kānaue̯lī́na	k a a n a w e ɺ i i n a
buxpú	b u h p u
ué̥pa	w ɨ p a
uipóa	w i p ɔ a
me̥ḥolaláḥani	m ɨ h ɔ ɺ a ɺ a h a n i
ui̯póa	w i p ɔ a
ui̯podyā́e̠ga	w i p ɔ dʒ a a ɛ g a
dix̯síbero	d i h s i b e ɾ ɔ
dix̯sigati	d i h s i g a t i
dihé̠a	d i h ɛ a
sírise̠pu̠	s i ɾ i s ɛ p ʊ
lihé̠a	ɺ i h ɛ a
pē̠rí	p ɛ ɛ ɾ i
pīyée̥	p i i j e ɨ
meamítiyu	m e a m i t i j u
okiónte̠si	ɔ k i ɔ n t ɛ s i
pīx̯ú	p i i tʃ u
meamítiye̥	m e a m i t i j ɨ
tsakátsia	ts a k a ts i a
onoíyagoxso	ɔ n ɔ i j a g ɔ h s ɔ
é̥miki	ɨ m i k i
mā́kake̠táka	m a a k a k ɛ t a k a
uḗ̠puli	w ɛ ɛ p u ɺ i
ōnoíagoxso	ɔ ɔ n ɔ i a g ɔ h s ɔ
yuā́loge̠	j u a a ɺ ɔ g ɛ
yoāyá	j ɔ a a j a
yóaka	j ɔ a k a
yóe̠	j ɔ ɛ
disx̯sípulitsai̯ánidex̯ka	d i s h s i p u ɺ i ts a j a n i d e h k a
hātia	h a a t i a
ōme̠té̠ni	ɔ ɔ m ɛ t ɛ n i
dix̯púmelame̥	d i h p u m e ɺ a m ɨ
ṅḗē	ŋ e e e e
iía	i i a
ké̥re̥	k ɨ ɾ ɨ
nyĩā́	ɲ ĩ a a
ṹẽ	ũ ẽ
nyīká	ɲ i i k a
síneke̥be̥	s i n e k ɨ b ɨ
gṹẽ	g ũ ẽ
tsaī́	ts a i i
mē̠né̠tsino	m ɛ ɛ n ɛ ts i n ɔ
hihía	h i h i a
haúlapikoa	h a u ɺ a p i k ɔ a
yé̠a	j ɛ a
yaiká	j a i k a
kū́'me̥	k u u ʔ m ɨ
mālié̠ya	m a a ɺ i ɛ j a
mālié̠ye	m a a ɺ i ɛ j e
ohṓle̥xka	ɔ h ɔ ɔ ɺ ɨ h k a
óo	ɔ ɔ
mitólike̠re̥	m i t ɔ ɺ i k ɛ ɾ ɨ
lu̠pu̠koá	ɺ ʊ p ʊ k ɔ a
de̥pūkoá	d ɨ p u u k ɔ a
mé̠oke	m ɛ ɔ k e
e̥me̥é̥	ɨ m ɨ ɨ
é̥me̥	ɨ m ɨ
imíliha	i m i ɺ i h a
láe̥	ɺ a ɨ
uaxsúru	w a h s u ɾ u
yapḗ̠ro	j a p ɛ ɛ ɾ ɔ
u̠atóḥuru	w a t ɔ h u ɾ u
uahóa	w a h ɔ a
oahóa	w a h ɔ a
diau̯e̠kía	d i a w ɛ k i a
yoaláua	j ɔ a ɺ a w a
uairé̠taka	w a i ɾ ɛ t a k a
yoxká	j ɔ h k a
nóḳoa	n ɔ k ɔ a
kīrú	k i i ɾ u
kī́	k i i
kía	k i a
kīlú	k i i ɺ u
kī́nu	k i i n u
ānoi̯ye̠	a a n ɔ i j ɛ
baadyá	b a a dʒ a
áue	a w e
haúku	h a u k u
pōgá	p ɔ ɔ g a
baagáli	b a a g a ɺ i
ābulúa	a a b u ɺ u a
au̯itíre̥	a w i t i ɾ ɨ
tsṹũrũ	ts ũ ũ ɾ ũ
ā́tahokoa	a a t a h ɔ k ɔ a
mẽ̄ã́	m ẽ ẽ ã
kāgá	k a a g a
kā́ga	k a a g a
gā́ka	g a a k a
ue̥liniḗ̠ro	w ɨ ɺ i n i ɛ ɛ ɾ ɔ
paxhá	p a h a
ni'kimaká	n i ʔ k i m a k a
hā́ne̠	h a a n ɛ
uaxsohí	w a h s ɔ h i
tsālá	ts a a ɺ a
sása	s a s a
haháka	h a h a k a
tsārá	ts a a ɾ a
maliuí	m a ɺ i w i
be̠hē̠ró	b ɛ h ɛ ɛ ɾ ɔ
ye̠	j ɛ
ya'ná	j a ʔ n a
yanā́re̥	j a n a a ɾ ɨ
uarū́rapiia	w a ɾ u u ɾ a p i i a
ya'kátsana	j a ʔ k a ts a n a
yaxpádiana	j a h p a d i a n a
ṓyahuaka	ɔ ɔ j a h u a k a
hóatanikerokaíkaka	h ɔ a t a n i k e ɾ ɔ k a i k a k a
nḗ̠kama	n ɛ ɛ k a m a
díuru	d i u ɾ u
ōpé̠li	ɔ ɔ p ɛ ɺ i
díulu	d i u ɺ u
tau̯ā́nipatunie̯	t a w a a n i p a t u n i e
yamimage̠áue̠	j a m i m a g ɛ a w ɛ
yámigakiai̯dyá	j a m i g a k i a i dʒ a
hā́ia	h a a j a
yámigakaiyagá	j a m i g a k a i j a g a
yē̠dóloge̥	j ɛ ɛ d ɔ ɺ ɔ g ɨ
yaía	j a i a
híai	h i a i
yē̠dṓroge̥	j ɛ ɛ d ɔ ɔ ɾ ɔ g ɨ
hiyai	h i j a i
yí	j i
ne̠é̠	n ɛ ɛ
níi	n i i
nḗ̠re̥	n ɛ ɛ ɾ ɨ
yamĩ́ã	j a m ĩ ã
uasúaa	w a s u a a
uahḗ̠roga	w a h ɛ ɛ ɾ ɔ g a
tapoiḥia	t a p ɔ i h i a
uahoágamai̯	w a h ɔ a g a m a i
uḗ̠roga	w ɛ ɛ ɾ ɔ g a
yā́la	j a a ɺ a
uáiroka	w a i ɾ ɔ k a
yā́mikia	j a a m i k i a
yalá	j a ɺ a
pāmṓno	p a a m ɔ ɔ n ɔ
taāpitúalike	t a a a p i t u a ɺ i k e
me̥leá	m ɨ ɺ e a
mé̥li	m ɨ ɺ i
minía	m i n i a
mé̥ne̠	m ɨ n ɛ
yée̥po	j e ɨ p ɔ
yépó	j e p ɔ
yipā́ko	j i p a a k ɔ
hā́ko	h a a k ɔ
yépo	j e p ɔ
uānió	w a a n i ɔ
lē̠kíako	ɺ ɛ ɛ k i a k ɔ
e̥lé̥	ɨ ɺ ɨ
tite̠e̥mé̥ma	t i t ɛ ɨ m ɨ m a
makánikia	m a k a n i k i a
puī́re̥	p u i i ɾ ɨ
be̠imakíika	b ɛ i m a k i i k a
dix̯sī́ro	d i h s i i ɾ ɔ
dix̯si	d i h s i
dihokópe̠	d i h ɔ k ɔ p ɛ
lihokópe̠	ɺ i h ɔ k ɔ p ɛ
pū́poitobe̠	p u u p ɔ i t ɔ b ɛ
mē̠ó	m ɛ ɛ ɔ
mai	m a i
bii	b i i
bī́i	b i i i
be̠ía	b ɛ i a
nu̠láme	n ʊ ɺ a m e
nṓluge̥	n ɔ ɔ ɺ u g ɨ
ā́logaga	a a ɺ ɔ g a g a
yokóloko	j ɔ k ɔ ɺ ɔ k ɔ
ā́lokaka	a a ɺ ɔ k a k a
yā́be̠ro	j a a b ɛ ɾ ɔ
yapātuayá	j a p a a t u a j a
yite̠mupáí	j i t ɛ m u p a i
sípatolo	s i p a t ɔ ɺ ɔ
yapātupáhi	j a p a a t u p a h i
yémãẽ	j e m ã ẽ
yee̥mã́e̥	j e ɨ m ã ɨ
yimā́ki	j i m a a k i
yée̥mã̄e̥	j e ɨ m ã ã ɨ
símāke̥	s i m a a k ɨ
kā́te̥	k a a t ɨ
uáme̥a	w a m ɨ a
yūli	j u u ɺ i
tsomóno	ts ɔ m ɔ n ɔ
tumúnu	t u m u n u
homokópe̠	h ɔ m ɔ k ɔ p ɛ
sítoūkia	s i t ɔ u u k i a
yatumúnu	j a t u m u n u
yasómono	j a s ɔ m ɔ n ɔ
yḗpolo	j e e p ɔ ɺ ɔ
yoamaí	j ɔ a m a i
yoé̠mata̠óihi	j ɔ ɛ m a t ɑ ɔ i h i
tṓkie̥āne̥	t ɔ ɔ k i ɨ a a n ɨ
yḗporo	j e e p ɔ ɾ ɔ
tṓkiāne̥	t ɔ ɔ k i a a n ɨ
ue̥nṹõ	w ɨ n ũ ɔ̃
yaué̥	j a w ɨ
siuaḥíkie̯	s i w a h i k i e
tupúlakoa	t u p u ɺ a k ɔ a
óaka	ɔ a k a
pḗ̠repota	p ɛ ɛ ɾ e p ɔ t a
mamadai̯yáge̥	m a m a d a i j a g ɨ
áue̠mame̥	a w ɛ m a m ɨ
mā́makiai̯dyá	m a a m a k i a i dʒ a
haiámamāke̥	h a j a m a m a a k ɨ
ṓa	ɔ ɔ a
yā́he̠	j a a h ɛ
yamika	j a m i k a
yami	j a m i
yamía	j a m i a
yá'miri	j a ʔ m i ɾ i
bóē̠dyu	b ɔ ɛ ɛ dʒ u
ṓpe̠a	ɔ ɔ p ɛ a
mā́la	m a a ɺ a
iamaí	j a m a i
he̠noó	h ɛ n ɔ ɔ
hé̠no	h ɛ n ɔ
nī́re̥	n i i ɾ ɨ
mā́ra	m a a ɾ a
mālianáa	m a a ɺ i a n a a
e̠hḗ̠be̥ge̥	ɛ h ɛ ɛ b ɨ g ɨ
me̥siī́ṅge̥	m ɨ s i i i ŋ g ɨ
lukía	ɺ u k i a
