Grapheme	IPA	Examples	Languages	Frequence	Codepoints
ḗ̠h	<?>	īnakuliuḗ̠he̠naka, hḗ̠hie̠kie̥	Yahuna, Koretu	2	U+1e17 U+0320 U+0068
^ū́a$	úa	ū́a	Yahuna	2	U+005e U+016b U+0301 U+0061 U+0024
^ē	ē	ēme̥tsi, ēmíparo	Desano	2	U+005e U+0113
uayá$	uayá	yapātuayá, patuayá	Yupua	2	U+0075 U+0061 U+0079 U+00e1 U+0024
oe̠$	oe̠	lā́roe̠, góe̠ripoe̠	Koretu, Desano	2	U+006f U+0065 U+0320 U+0024
^aya	aya	ayaká_hiadyaāníke̠ka, ayaté̠uahirikádyu	Yahuna	2	U+005e U+0061 U+0079 U+0061
iai̯	iai̯	yámigakiai̯dyá, mā́makiai̯dyá	Yahuna	2	U+0069 U+0061 U+0069 U+032f
ḳ	ḳ	nóḳoa, yoḳóro	Yupua, Yahuna	2	U+1e33
áa$	áa	máa, mālianáa	Yupua, Desano	2	U+00e1 U+0061 U+0024
^yaue̠	yaue̠	yaue̠sé̠	Yupua	2	U+005e U+0079 U+0061 U+0075 U+0065 U+0320
ií$	íː	wií, mií	Yahuna, Desano	2	U+0069 U+00ed U+0024
aa$	aː	húmaa, bū́tumaa	Yahuna, Koretu	2	U+0061 U+0061 U+0024
úe$	úe	púe, ke̠húe	Yupua, Yahuna	2	U+00fa U+0065 U+0024
ue	ue	puekā́lu, pē̠yóuero	Yupua, Desano	2	U+0075 U+0065
^ã̄	ã̄	ã̄nyã́pakeaka	Yahuna	2	U+005e U+00e3 U+0304
ũ	ũ	tsṹũrũ, nũṹ	Desano	2	U+0169
iū	iū	taā́piūlikukia, miūla	Yupua, Yahuna	2	U+0069 U+016b
e̥e$	e̥e	gā́le̥e	Yupua	2	U+0065 U+0325 U+0065 U+0024
p̌	p̌	pe̠agóp̌eka, bitai̯góp̌e̠ka	Yupua	2	U+0070 U+030c
áue̯$	áue̯	kāgakáue̯, pe̠káue̯	Yahuna	2	U+00e1 U+0075 U+0065 U+032f U+0024
^u̠a	u̠a	u̠atóḥuru, u̠atóua	Koretu	2	U+005e U+0075 U+0320 U+0061
^yai̯iuá	yai̯iuá	yai̯iuáxsulu, yai̯iuáxsuru	Desano	2	U+005e U+0079 U+0061 U+0069 U+032f U+0069 U+0075 U+00e1
íu	íu	díuru, díulu	Desano	2	U+00ed U+0075
^ii	iː	iipáy, iipáya	Yahuna	2	U+005e U+0069 U+0069
ā́h	ā́h	yā́he̠, mā́hoi̯re̥	Koretu	2	U+0101 U+0301 U+0068
aú	aú	haúku, haúlapikoa	Yahuna, Koretu	2	U+0061 U+00fa
e̥o	e̥o	dupué̠me̥oka, lupué̠me̥oka	Yahuna	2	U+0065 U+0325 U+006f
oya$	oya	sḗ̠boya, tx̯ḗ̠boya	Yupua	2	U+006f U+0079 U+0061 U+0024
iyi	iyi	miyitatábe̠, mamiyimí	Yahuna	2	U+0069 U+0079 U+0069
áa	áa	báapayau̯aru, báapayau̯alu	Yupua	2	U+00e1 U+0061
ayau̯a	ayau̯a	báapayau̯aru, báapayau̯alu	Yupua	2	U+0061 U+0079 U+0061 U+0075 U+032f U+0061
^uai$	uai	uai	Desano	2	U+005e U+0075 U+0061 U+0069 U+0024
ē̥	ē̥	bē̥gé̥, bē̥ló	Desano	2	U+0113 U+0325
é̥h	é̥h	mé̥he̥, ḥé̥he̥	Koretu	2	U+00e9 U+0325 U+0068
^uayáu	uayáu	uayáule̠ruka, uayáule̠ru	Yahuna	2	U+005e U+0075 U+0061 U+0079 U+00e1 U+0075
^īs	īs	īsí	Yupua	2	U+005e U+012b U+0073
yo$	yo	ṓdyo, yé̠yo	Yahuna	2	U+0079 U+006f U+0024
iyo$	iyo	yee̥tī́niyo, hóiyo	Yupua, Koretu	2	U+0069 U+0079 U+006f U+0024
aúa	aúa	kaúala, laúariko	Yupua, Koretu	2	U+0061 U+00fa U+0061
ui$	ui	bui, tsaháme̥_nomi_be̥kákui	Yupua, Desano	2	U+0075 U+0069 U+0024
'h	h	tā'há, mí'hi	Koretu	2	U+0027 U+0068
íya	íya	mālíyawii, kapilíyaka	Yahuna, Desano	2	U+00ed U+0079 U+0061
uúa$	úːa	huúa, puúa	Yahuna	2	U+0075 U+00fa U+0061 U+0024
^uaí	uaí	uaíhāke̥, uaíhia	Koretu	2	U+005e U+0075 U+0061 U+00ed
ai̯e̥$	ai̯e̥	mā́lai̯e̥, mṓai̯e̥	Koretu	2	U+0061 U+0069 U+032f U+0065 U+0325 U+0024
^ḳ	ḳ	ḳeolḗ̠yu, ḳoákuru	Yahuna	2	U+005e U+1e33
^ū́	ú	ū́tia, ū́mua	Yahuna	2	U+005e U+016b U+0301
uay	uay	kuayḗ̠rie, kuayḗ̠ri	Yahuna	2	U+0075 U+0061 U+0079
aíua	aíua	paíuaga, piraíuaka	Yahuna	2	U+0061 U+00ed U+0075 U+0061
^ḗ̠	<?>	ḗ̠olo, ḗ̠bo	Yupua, Desano	2	U+005e U+1e17 U+0320
ye$	ye	uaī́ye, mālié̠ye	Yahuna	2	U+0079 U+0065 U+0024
ph	pʰ	gōlóphūna, gōróphūna	Desano	2	U+0070 U+0068
yú	yú	pē̠yúpe̠ru̠, uadyúlika	Yahuna, Desano	2	U+0079 U+00fa
ayau	ayau	tsayauā́laga, tsayauā́naga	Yahuna	2	U+0061 U+0079 U+0061 U+0075
yú$	yú	mūnyú, keaudyú	Yahuna, Desano	2	U+0079 U+00fa U+0024
yúi$	yúi	diadyúi	Yupua	2	U+0079 U+00fa U+0069 U+0024
eá$	eá	me̥leá, meá	Desano	2	U+0065 U+00e1 U+0024
^ṅ	<?>	ṅḗē, ṅāmí	Yupua, Desano	2	U+005e U+1e45
ū́$	ú	pū́	Yupua, Desano	2	U+016b U+0301 U+0024
yúa$	yúa	pūnyúa, hādyúa	Yahuna	2	U+0079 U+00fa U+0061 U+0024
e̥á$	e̥á	me̥á, ge̥á	Yupua, Desano	2	U+0065 U+0325 U+00e1 U+0024
e̥ya	e̥ya	mé̥e̥yapātupáhi, ige̥yapātupáhi	Yupua	2	U+0065 U+0325 U+0079 U+0061
yau̯e̠	yau̯e̠	mé̥āyau̯e̠é̠, e̥yé̥yau̯e̠é̠	Yupua	2	U+0079 U+0061 U+0075 U+032f U+0065 U+0320
^ue̥a	ue̥a	ue̥agé̥gero, ue̥alṓgelo	Desano	2	U+005e U+0075 U+0065 U+0325 U+0061
ṓh	<?>	yṓhe̠, tṓhone̠	Koretu	2	U+1e53 U+0068
e̥y	e̥y	he̥yḗ̠ke̥ke̥, uhḗ̠ge̥yée̥	Yupua, Koretu	2	U+0065 U+0325 U+0079
aue̯	aue̯	kālaue̯lī́na, kānaue̯lī́na	Desano	2	U+0061 U+0075 U+0065 U+032f
