Grapheme	IPA	Examples	Languages	Frequence	Codepoints
yau̯a$	yau̯a	nokolī́yau̯a	Yahuna	1	U+0079 U+0061 U+0075 U+032f U+0061 U+0024
iuáa	iuáa	uátiuáage̥	Yupua	1	U+0069 U+0075 U+00e1 U+0061
ĩ	ĩ	uē̠ré̠nĩīnĩ̄	Desano	1	U+0129
ĩ̄$	ĩ̄	uē̠ré̠nĩīnĩ̄	Desano	1	U+0129 U+0304 U+0024
^ḗs	<?>	ḗsi	Koretu	1	U+005e U+1e17 U+0073
^uau$	uau	uau	Desano	1	U+005e U+0075 U+0061 U+0075 U+0024
^uaúa$	uaúa	uaúa	Yahuna	1	U+005e U+0075 U+0061 U+00fa U+0061 U+0024
^oyo	oyo	oyobe̥gé̥	Desano	1	U+005e U+006f U+0079 U+006f
^yaía$	yaía	yaía	Yahuna	1	U+005e U+0079 U+0061 U+00ed U+0061 U+0024
íai$	íai	híai	Koretu	1	U+00ed U+0061 U+0069 U+0024
iyai$	iyai	hiyai	Koretu	1	U+0069 U+0079 U+0061 U+0069 U+0024
^yí$	yí	yí	Yupua	1	U+005e U+0079 U+00ed U+0024
ī$	ī	yī́yī	Yupua	1	U+012b U+0024
iye$	iye	yainé̠iye	Yahuna	1	U+0069 U+0079 U+0065 U+0024
^yái	yái	yáitopike̥	Koretu	1	U+005e U+0079 U+00e1 U+0069
iaúe̥$	iaúe̥	yīdiaúe̥	Yupua	1	U+0069 U+0061 U+00fa U+0065 U+0325 U+0024
^uai̯yu	uai̯yu	uai̯yumalie̠i	Koretu	1	U+005e U+0075 U+0061 U+0069 U+032f U+0079 U+0075
ie̠i$	ie̠i	uai̯yumalie̠i	Koretu	1	U+0069 U+0065 U+0320 U+0069 U+0024
iau̯e̥$	iau̯e̥	yī́diau̯e̥	Yupua	1	U+0069 U+0061 U+0075 U+032f U+0065 U+0325 U+0024
io$	io	ya'másio	Koretu	1	U+0069 U+006f U+0024
iai̯yoa$	iai̯yoa	diai̯yoa	Desano	1	U+0069 U+0061 U+0069 U+032f U+0079 U+006f U+0061 U+0024
iayáu$	iayáu	diayáu	Yahuna	1	U+0069 U+0061 U+0079 U+00e1 U+0075 U+0024
iayau̯$	iayau̯	liayau̯	Koretu	1	U+0069 U+0061 U+0079 U+0061 U+0075 U+032f U+0024
iaúe	iaúe	diaúex̯ke̥	Desano	1	U+0069 U+0061 U+00fa U+0065
iau̯i	iau̯i	diau̯ike̥	Yupua	1	U+0069 U+0061 U+0075 U+032f U+0069
ūía$	ūía	būía	Yahuna	1	U+016b U+00ed U+0061 U+0024
e̠ía$	e̠ía	be̠ía	Yahuna	1	U+0065 U+0320 U+00ed U+0061 U+0024
e̠i	e̠i	be̠imakíika	Yahuna	1	U+0065 U+0320 U+0069
^ue̠á	ue̠á	ue̠ága	Yahuna	1	U+005e U+0075 U+0065 U+0320 U+00e1
ḗ̠s	<?>	sḗ̠se̠	Koretu	1	U+1e17 U+0320 U+0073
íai̯yi$	íai̯yi	díai̯yi	Desano	1	U+00ed U+0061 U+0069 U+032f U+0079 U+0069 U+0024
^ye̠u	ye̠u	ye̠ué̠koa	Yahuna	1	U+005e U+0079 U+0065 U+0320 U+0075
iau̯e̠	iau̯e̠	diau̯e̠kía	Yahuna	1	U+0069 U+0061 U+0075 U+032f U+0065 U+0320
^uiyá	uiyá	uiyága	Yahuna	1	U+005e U+0075 U+0069 U+0079 U+00e1
ã́ẽ	ã́ẽ	minimã́ẽndiuli	Desano	1	U+00e3 U+0301 U+1ebd
uái$	uái	buluái	Yupua	1	U+0075 U+00e1 U+0069 U+0024
uia$	uia	tuia	Yahuna	1	U+0075 U+0069 U+0061 U+0024
ia̠	ia̠	hā́sikia̠li	Koretu	1	U+0069 U+0061 U+0320
aúe̠	aúe̠	makaúe̠dya	Yupua	1	U+0061 U+00fa U+0065 U+0320
yui	yui	kúdyuiga	Yahuna	1	U+0079 U+0075 U+0069
úyui̯$	úyui̯	kúyui̯	Koretu	1	U+00fa U+0079 U+0075 U+0069 U+032f U+0024
^ã̄ã̄́$	ã̄ã́	ã̄ã̄́	Desano	1	U+005e U+00e3 U+0304 U+00e3 U+0304 U+0301 U+0024
^uauá	uauá	uauáka	Yahuna	1	U+005e U+0075 U+0061 U+0075 U+00e1
io̯	io̯	pulítsio̯ka	Yahuna	1	U+0069 U+006f U+032f
áue$	áue	báue	Yahuna	1	U+00e1 U+0075 U+0065 U+0024
uaua$	uaua	ókopukluaua	Yahuna	1	U+0075 U+0061 U+0075 U+0061 U+0024
íaya	íaya	díayasi	Yupua	1	U+00ed U+0061 U+0079 U+0061
yue̠	yue̠	kā́dyue̠ka	Yahuna	1	U+0079 U+0075 U+0065 U+0320
íai̯ua$	íai̯ua	kíai̯ua	Koretu	1	U+00ed U+0061 U+0069 U+032f U+0075 U+0061 U+0024
oía$	oía	būdyaboía	Yahuna	1	U+006f U+00ed U+0061 U+0024
^áua	áua	áualiga	Yahuna	1	U+005e U+00e1 U+0075 U+0061
^au̯a	au̯a	au̯apákie̠ka	Yahuna	1	U+005e U+0061 U+0075 U+032f U+0061
^uái$	uái	uái	Yupua	1	U+005e U+0075 U+00e1 U+0069 U+0024
^uaie$	uaie	uaie	Yahuna	1	U+005e U+0075 U+0061 U+0069 U+0065 U+0024
^uáí	uáí	uáíté̥te̥	Yupua	1	U+005e U+0075 U+00e1 U+00ed
^uaiua	uaiua	uaiuaká	Yahuna	1	U+005e U+0075 U+0061 U+0069 U+0075 U+0061
úai̯$	úai̯	kúai̯	Koretu	1	U+00fa U+0061 U+0069 U+032f U+0024
áuai$	áuai	moháuai	Desano	1	U+00e1 U+0075 U+0061 U+0069 U+0024
úuai$	úuai	púuai	Yupua	1	U+00fa U+0075 U+0061 U+0069 U+0024
uai̯$	uai̯	poḥṓuai̯	Koretu	1	U+0075 U+0061 U+0069 U+032f U+0024
^áū	áū	áūli	Yupua	1	U+005e U+00e1 U+016b
ue$	ue	gáhue	Yahuna	1	U+0075 U+0065 U+0024
oíya	oíya	onoíyagoxso	Desano	1	U+006f U+00ed U+0079 U+0061
oía	oía	ōnoíagoxso	Desano	1	U+006f U+00ed U+0061
^ue̠uá	ue̠uá	ue̠uálu	Yupua	1	U+005e U+0075 U+0065 U+0320 U+0075 U+00e1
ā̠́	á̠	kā̠́e̥	Koretu	1	U+0101 U+0320 U+0301
^ãyẽ́	ãyẽ́	ãyẽ́hāke̥	Koretu	1	U+005e U+00e3 U+0079 U+1ebd U+0301
íua	íua	butsíuahua	Yahuna	1	U+00ed U+0075 U+0061
^yãĩ	yãĩ	yãĩmẽã	Desano	1	U+005e U+0079 U+00e3 U+0129
ẽã$	ẽã	yãĩmẽã	Desano	1	U+1ebd U+00e3 U+0024
ẽ́ã$	ẽ́ã	mẽ́ã	Yupua	1	U+1ebd U+0301 U+00e3 U+0024
ẽ̄ã́$	ẽ̄ã́	mẽ̄ã́	Desano	1	U+1ebd U+0304 U+00e3 U+0301 U+0024
au̯a$	au̯a	ā́lau̯a	Yupua	1	U+0061 U+0075 U+032f U+0061 U+0024
aua$	aua	hā́raua	Koretu	1	U+0061 U+0075 U+0061 U+0024
^iía$	íːa	iía	Yahuna	1	U+005e U+0069 U+00ed U+0061 U+0024
ẽ́ẽ$	ẽ́ẽ	yīmasaṅẽ́ẽ	Yupua	1	U+1ebd U+0301 U+1ebd U+0024
e̠oa	e̠oa	kóle̠oabu	Yupua	1	U+0065 U+0320 U+006f U+0061
iuí$	iuí	maliuí	Yahuna	1	U+0069 U+0075 U+00ed U+0024
ei$	ei	tsei	Desano	1	U+0065 U+0069 U+0024
ṹ$	ṹ	nũṹ	Desano	1	U+1e79 U+0024
'g	g	ná'ge̠	Yupua	1	U+0027 U+0067
áya	áya	táyare̥	Koretu	1	U+00e1 U+0079 U+0061
^au̯i	au̯i	au̯itíre̥	Koretu	1	U+005e U+0061 U+0075 U+032f U+0069
oi̯ye̠$	oi̯ye̠	ānoi̯ye̠	Desano	1	U+006f U+0069 U+032f U+0079 U+0065 U+0320 U+0024
^áue$	áue	áue	Yahuna	1	U+005e U+00e1 U+0075 U+0065 U+0024
aúioa	aúioa	haúioake̠re̥	Koretu	1	U+0061 U+00fa U+0069 U+006f U+0061
^yaú	yaú	yaúre̥	Koretu	1	U+005e U+0079 U+0061 U+00fa
^iyo	iyo	iyotū́li	Yahuna	1	U+005e U+0069 U+0079 U+006f
yaya	yaya	mānyayapúa	Yahuna	1	U+0079 U+0061 U+0079 U+0061
^e̠o	e̠o	e̠omix̯sí	Yupua	1	U+005e U+0065 U+0320 U+006f
rs	rs	saítakurse̥	Koretu	1	U+0072 U+0073
^uaá$	uáː	uaá	Desano	1	U+005e U+0075 U+0061 U+00e1 U+0024
^iúa$	iúa	iúa	Yahuna	1	U+005e U+0069 U+00fa U+0061 U+0024
íe$	íe	āníe	Yahuna	1	U+00ed U+0065 U+0024
oi̯yá$	oi̯yá	gōnoi̯yá	Desano	1	U+006f U+0069 U+032f U+0079 U+00e1 U+0024
yí$	yí	ge̥lāyí	Yupua	1	U+0079 U+00ed U+0024
oyū̠	oyū̠	yōmóloyū̠li	Desano	1	U+006f U+0079 U+016b U+0320
iáaya$	iáaya	siáaya	Yupua	1	U+0069 U+00e1 U+0061 U+0079 U+0061 U+0024
ae̠$	ae̠	pusíḥae̠	Koretu	1	U+0061 U+0065 U+0320 U+0024
^yií$	yíː	yií	Yahuna	1	U+005e U+0079 U+0069 U+00ed U+0024
áí$	áí	yite̠mupáí	Yahuna	1	U+00e1 U+00ed U+0024
^ĩ̄	ĩ̄	ĩ̄ṅẽyábe̠ro_buiríbe̠ro	Desano	1	U+005e U+0129 U+0304
ẽyá	ẽyá	ĩ̄ṅẽyábe̠ro_buiríbe̠ro	Desano	1	U+1ebd U+0079 U+00e1
uy	uy	apikaliká_te̠muyī́liuiia	Yahuna	1	U+0075 U+0079
aíyau̯e̠	aíyau̯e̠	maíyau̯e̠é̠	Yupua	1	U+0061 U+00ed U+0079 U+0061 U+0075 U+032f U+0065 U+0320
ayá	ayá	īnayáwii	Desano	1	U+0061 U+0079 U+00e1
^e̥y	e̥y	e̥yé̥yau̯e̠é̠	Yupua	1	U+005e U+0065 U+0325 U+0079
iuiía$	iuiía	nāliuiía	Yahuna	1	U+0069 U+0075 U+0069 U+00ed U+0061 U+0024
'b	b	ho'baká	Yahuna	1	U+0027 U+0062
^ã	ã	ãmĩĩ́ã	Desano	1	U+005e U+00e3
ĩĩ́ã$	ĩ́ːã	ãmĩĩ́ã	Desano	1	U+0129 U+0129 U+0301 U+00e3 U+0024
ãẽ́	ãẽ́	e̥mãẽ́gero	Desano	1	U+00e3 U+1ebd U+0301
aia$	aia	hā́naia	Koretu	1	U+0061 U+0069 U+0061 U+0024
^yauí$	yauí	yauí	Yupua	1	U+005e U+0079 U+0061 U+0075 U+00ed U+0024
e̥i	e̥i	he̥iḗ̠ke̥ke̥	Koretu	1	U+0065 U+0325 U+0069
áe̥	áe̥	táe̥ne̠	Koretu	1	U+00e1 U+0065 U+0325
oáa$	oáa	boxhoáa	Desano	1	U+006f U+00e1 U+0061 U+0024
^uiía	uiía	uiíaka	Yahuna	1	U+005e U+0075 U+0069 U+00ed U+0061
iu̯$	iu̯	hī́niu̯	Yahuna	1	U+0069 U+0075 U+032f U+0024
y$	y	be̥katū́dy	Yupua	1	U+0079 U+0024
yayi$	yayi	kirḗ̠yayi	Yahuna	1	U+0079 U+0061 U+0079 U+0069 U+0024
^nh	nh	nhī́po	Desano	1	U+005e U+006e U+0068
íau̯a$	íau̯a	díau̯a	Yupua	1	U+00ed U+0061 U+0075 U+032f U+0061 U+0024
e̠í$	e̠í	himíane̠í	Yahuna	1	U+0065 U+0320 U+00ed U+0024
yã́ã$	yã́ã	dopakēyã́ã	Desano	1	U+0079 U+00e3 U+0301 U+00e3 U+0024
iáye̠$	iáye̠	diáye̠	Desano	1	U+0069 U+00e1 U+0079 U+0065 U+0320 U+0024
^oe̠	oe̠	oe̠ní	Yupua	1	U+005e U+006f U+0065 U+0320
íaye̠$	íaye̠	díaye̠	Desano	1	U+00ed U+0061 U+0079 U+0065 U+0320 U+0024
^íye̠$	íye̠	íye̠	Desano	1	U+005e U+00ed U+0079 U+0065 U+0320 U+0024
a̠	a̠	yoé̠mata̠óihi	Yahuna	1	U+0061 U+0320
'ā́	á	yō'ā́loge̠	Desano	1	U+0027 U+0101 U+0301
'e̠$	e̠	yṓ'e̠	Yahuna	1	U+0027 U+0065 U+0320 U+0024
ioaí	ioaí	tsioaíni	Desano	1	U+0069 U+006f U+0061 U+00ed
áyu$	áyu	yidiatáyu	Yahuna	1	U+00e1 U+0079 U+0075 U+0024
l$	l	iateanié̠l	Koretu	1	U+006c U+0024
áye̥$	áye̥	yidiatáye̥	Yahuna	1	U+00e1 U+0079 U+0065 U+0325 U+0024
uáiu̯$	uáiu̯	guáiu̯	Yupua	1	U+0075 U+00e1 U+0069 U+0075 U+032f U+0024
ū́y	úy	mū́yāli	Yahuna	1	U+016b U+0301 U+0079
íe̠i̯$	íe̠i̯	yee̥tsíe̠i̯	Yupua	1	U+00ed U+0065 U+0320 U+0069 U+032f U+0024
x̯h	x̯h	mix̯hoe̠be̠	Yahuna	1	U+0078 U+032f U+0068
^u̠	u̠	u̠hé̠kialó	Koretu	1	U+005e U+0075 U+0320
ai̯y	ai̯y	ehéai̯yā	Desano	1	U+0061 U+0069 U+032f U+0079
ouo̯úo$	ouo̯úo	houo̯úo	Koretu	1	U+006f U+0075 U+006f U+032f U+00fa U+006f U+0024
^ai	ai	airike̠	Desano	1	U+005e U+0061 U+0069
úai̯e̥$	úai̯e̥	yasḗ̠bo_puhúai̯e̥	Yupua	1	U+00fa U+0061 U+0069 U+032f U+0065 U+0325 U+0024
áai̯$	áai̯	báai̯	Yupua	1	U+00e1 U+0061 U+0069 U+032f U+0024
ye̠	ye̠	mambaā́ye̠é̠	Yahuna	1	U+0079 U+0065 U+0320
ã	ã	opãkiá	Koretu	1	U+00e3
ue̠i$	ue̠i	ké̥ue̠i	Koretu	1	U+0075 U+0065 U+0320 U+0069 U+0024
ū́ye̥$	ū́ye̥	hahía_liákahulū́ye̥	Yahuna	1	U+016b U+0301 U+0079 U+0065 U+0325 U+0024
ū́yu$	ū́yu	hahía_diákahulū́yu	Yahuna	1	U+016b U+0301 U+0079 U+0075 U+0024
ouá$	ouá	houá	Koretu	1	U+006f U+0075 U+00e1 U+0024
iyu$	iyu	meamítiyu	Yahuna	1	U+0069 U+0079 U+0075 U+0024
iye̥$	iye̥	meamítiye̥	Yahuna	1	U+0069 U+0079 U+0065 U+0325 U+0024
áui	áui	tx̯akáuiīx̯u	Yupua	1	U+00e1 U+0075 U+0069
áui̯	áui̯	ge̥láui̯ri	Desano	1	U+00e1 U+0075 U+0069 U+032f
ayú$	ayú	kē̠tayú	Yahuna	1	U+0061 U+0079 U+00fa U+0024
^yeuá	yeuá	yeuáge̥	Yupua	1	U+005e U+0079 U+0065 U+0075 U+00e1
yee̥uaa	yee̥uaa	mé̥e̥pe̠e̠_yee̥uaatoho	Yupua	1	U+0079 U+0065 U+0065 U+0325 U+0075 U+0061 U+0061
ūya	ūya	tūyadīyee̥	Yupua	1	U+016b U+0079 U+0061
yee̥$	ye̥ː	tūyadīyee̥	Yupua	1	U+0079 U+0065 U+0065 U+0325 U+0024
^iá	iá	iádyiri	Desano	1	U+005e U+0069 U+00e1
^yií	yíː	yiípi	Yupua	1	U+005e U+0079 U+0069 U+00ed
e̥ai̯$	e̥ai̯	ge̥latx̯ibe̥ai̯	Yupua	1	U+0065 U+0325 U+0061 U+0069 U+032f U+0024
^uya	uya	uyakóta	Koretu	1	U+005e U+0075 U+0079 U+0061
^uia	uia	uiakóta	Koretu	1	U+005e U+0075 U+0069 U+0061
uu	uː	guulí	Yupua	1	U+0075 U+0075
oo	oː	noolí	Yupua	1	U+006f U+006f
ue̠uá$	ue̠uá	hue̠uá	Koretu	1	U+0075 U+0065 U+0320 U+0075 U+00e1 U+0024
yū́	yú	pīyū́li	Desano	1	U+0079 U+016b U+0301
e̠áy	e̠áy	pe̠áyēri	Desano	1	U+0065 U+0320 U+00e1 U+0079
ioi̯y	ioi̯y	kalī́x̯e̥_kānioi̯yā́ni	Desano	1	U+0069 U+006f U+0069 U+032f U+0079
ú̠a$	ú̠a	hu̠rú̠a	Koretu	1	U+00fa U+0320 U+0061 U+0024
^yay	yay	yayé̥ipahi_nii_yé̥isu	Yupua	1	U+005e U+0079 U+0061 U+0079
iaa$	iaː	hṓkiaa	Koretu	1	U+0069 U+0061 U+0061 U+0024
iyúa	iyúa	miyúabe̠	Yahuna	1	U+0069 U+0079 U+00fa U+0061
^ú̠	ú̠	ú̠ru̠ha	Koretu	1	U+005e U+00fa U+0320
a̠úa	a̠úa	mihomita̠úabe̠	Yahuna	1	U+0061 U+0320 U+00fa U+0061
yai$	yai	túdyai	Yupua	1	U+0079 U+0061 U+0069 U+0024
ũẽ́	ũẽ́	pũẽ́_be̥ā́li	Desano	1	U+0169 U+1ebd U+0301
iuaya	iuaya	miuayatábe̠	Yahuna	1	U+0069 U+0075 U+0061 U+0079 U+0061
iū́	iú	tsiū́puli	Desano	1	U+0069 U+016b U+0301
áuo̯	áuo̯	tāláuo̯li	Desano	1	U+00e1 U+0075 U+006f U+032f
áai	áai	te̥xtáaitx̯é̥	Yupua	1	U+00e1 U+0061 U+0069
ḗ̠$	<?>	balalikḗ̠	Desano	1	U+1e17 U+0320 U+0024
