ID	CONCEPT	CONCEPT_IN_SOURCE	DATASET	DOCULECT	GLOTTOCODE	VALUE	FORM	TOKENS	LID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
3135	scrotum	scrotum	kochtukanoan	K-Koretu	cure1236	símaḥē̠re̥	símaḥē̠re̥	s i m a h ɛ ɛ ɾ ɨ	kochtukanoan-Koretu-68_scrotum-1	3 7 4 7 3 7 7 5 7	AXBYBYYBZ	SIMAHEERI	5	5.S.C 5.I.V 5.M.C 5.A.V 5.H.C 5.E.V 5.E.V 5.R.C 5.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.3 1.75 0.8	simahɛɛɾɨ	0	1865
331	sea	sea	hubercolumbian	H-Desano	desa1247	wi̵arija	wi̵arija	w ɨ a r i j a	hubercolumbian-Desano-311_sea-1	6 7 7 5 7 6 7	AXYBYBZ	WIARIJA	1	1.W.C 1.I.V 1.A.V 1.R.C 1.I.V 1.J.C 1.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	wɨarija	0	1866
718	sea	sea	hubercolumbian	H-Siriano	siri1274	wádija	wádija	w a d i j a	hubercolumbian-Siriano-311_sea-1	6 7 1 7 6 7	AXBYBZ	WATIJA	2	2.W.C 2.A.V 2.T.C 2.I.V 2.J.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	wadija	0	1866
1108	sea	sea	hubercolumbian	H-Tanimuca	tani1257	riapakiaka	riapakiaka	r i a p a k i a k a	hubercolumbian-Tanimuca-311_sea-1	5 7 7 1 7 1 7 7 1 7	AXYBYBYYBZ	RIAPAKIAKA	3	3.R.C 3.I.V 3.A.V 3.P.C 3.A.V 3.K.C 3.I.V 3.A.V 3.K.C 3.A.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.3 1.75 0.8	riapakiaka	0	1868
2534	sea	sea	kochtukanoan	K-Yahuna	yahu1241	kirī́kapunyuto	kirī́kapunyuto	k i ɾ i i k a p u ɲ u t ɔ	kochtukanoan-Yahuna-155_sea-1	1 7 5 7 7 1 7 1 7 4 7 1 7	AXBYYBYBYBYBZ	KIRIIKAPYNYTU	6	6.K.C 6.I.V 6.R.C 6.I.V 6.I.V 6.K.C 6.A.V 6.P.C 6.Y.V 6.N.C 6.Y.V 6.T.C 6.U.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	kiɾiikapuɲutɔ	0	1869
288	see	see	hubercolumbian	H-Desano	desa1247	ĩ́ã	ĩ́ã	ĩ ã	hubercolumbian-Desano-277_see-1	7 7	XZ	IA	1	1.I.V 1.A.V	1.5 0.8	ĩã	0	1870
289	see	see	hubercolumbian	H-Desano	desa1247	ĩʔã́	ĩʔã́	ĩ ʔ ã	hubercolumbian-Desano-277_see-2	7 1 7	XBZ	IHA	1	1.I.V 1.H.C 1.A.V	1.5 1.75 0.8	ĩʔã	0	1871
290	see	see	hubercolumbian	H-Desano	desa1247	jã	jã	j ã	hubercolumbian-Desano-277_see-3	6 7	AX	JA	1	1.J.C 1.A.V	2.0 1.5	jã	0	1878
680	see	see	hubercolumbian	H-Siriano	siri1274	ĩʔã́	ĩʔã́	ĩ ʔ ã	hubercolumbian-Siriano-277_see-1	7 1 7	XBZ	IHA	2	2.I.V 2.H.C 2.A.V	1.5 1.75 0.8	ĩʔã	0	1871
1065	see	see	hubercolumbian	H-Tanimuca	tani1257	ĩãrika	ĩãrika	ĩ ã r i k a	hubercolumbian-Tanimuca-277_see-1	7 7 5 7 1 7	XYBYBZ	IARIKA	3	3.I.V 3.A.V 3.R.C 3.I.V 3.K.C 3.A.V	1.5 1.3 1.75 1.3 1.75 0.8	ĩãrika	0	1872
1839	see	see	kochtukanoan	K-Desano	desa1247	ī́yāli	ī́yāli	i i j a a ɺ i	kochtukanoan-Desano-799_see-1	7 7 6 7 7 5 7	XYBYYBZ	IIJAARI	4	4.I.V 4.I.V 4.J.C 4.A.V 4.A.V 4.R.C 4.I.V	1.5 1.3 1.75 1.3 1.3 1.75 0.8	iijaaɺi	0	1873
2345	see	see	kochtukanoan	K-Yupua	jupu1235	pē̠mātx̯é̥	pē̠mātx̯é̥	p ɛ ɛ m a a tʃ ɨ	kochtukanoan-Yupua-799_see-1	1 7 7 4 7 7 1 7	AXYBYYBZ	PEEMAATI	7	7.P.C 7.E.V 7.E.V 7.M.C 7.A.V 7.A.V 7.T.C 7.I.V	2.0 1.5 1.3 1.75 1.3 1.3 1.75 0.8	pɛɛmaatʃɨ	0	1875
2346	see	see	kochtukanoan	K-Yupua	jupu1235	pē̠mā(t)x̯ú	pē̠māx̯ú	p ɛ ɛ m a a tʃ u	kochtukanoan-Yupua-799_see-2	1 7 7 4 7 7 1 7	AXYBYYBZ	PEEMAATY	7	7.P.C 7.E.V 7.E.V 7.M.C 7.A.V 7.A.V 7.T.C 7.Y.V	2.0 1.5 1.3 1.75 1.3 1.3 1.75 0.8	pɛɛmaatʃu	0	1875
3476	see	see	kochtukanoan	K-Koretu	cure1236	hṓkiaa	hṓkiaa	h ɔ ɔ k i a a	kochtukanoan-Koretu-799_see-1	3 7 7 1 7 7 7	AXYBYYZ	HUUKIAA	5	5.H.C 5.U.V 5.U.V 5.K.C 5.I.V 5.A.V 5.A.V	2.0 1.5 1.3 1.75 1.3 1.3 0.8	hɔɔkiaa	0	1874
172	seed	seed	hubercolumbian	H-Desano	desa1247	otéri	otéri	o t e r i	hubercolumbian-Desano-159_seed-1	7 1 7 5 7	XBYBZ	UTERI	1	1.U.V 1.T.C 1.E.V 1.R.C 1.I.V	1.5 1.75 1.3 1.75 0.8	oteri	0	1879
569	seed	seed	hubercolumbian	H-Siriano	siri1274	otéríkójé	otéríkójé	o t e r i k o j e	hubercolumbian-Siriano-159_seed-1	7 1 7 5 7 1 7 6 7	XBYBYBYBZ	UTERIKUJE	2	2.U.V 2.T.C 2.E.V 2.R.C 2.I.V 2.K.C 2.U.V 2.J.C 2.E.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	oterikoje	0	1879
954	seed	seed	hubercolumbian	H-Tanimuca	tani1257	japea	japea	j a p e a	hubercolumbian-Tanimuca-159_seed-1	6 7 1 7 7	AXBYZ	JAPEA	3	3.J.C 3.A.V 3.P.C 3.E.V 3.A.V	2.0 1.5 1.75 1.3 0.8	japea	0	1881
1649	seed	seed	kochtukanoan	K-Desano	desa1247	yuxke̥de̥xká	yuxke̥de̥xká	j u h k ɨ d ɨ h k a	kochtukanoan-Desano-577_seed-1	6 7 3 1 7 1 7 3 1 7	AXMBYBYMBZ	JYHKITIHKA	4	4.J.C 4.Y.V 4.H.c 4.K.C 4.I.V 4.T.C 4.I.V 4.H.c 4.K.C 4.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.1 1.75 0.8	juhkɨdɨhka	0	1882
2926	seed	seed	kochtukanoan	K-Yahuna	yahu1241	yapuliká	yapuliká	j a p u ɺ i k a	kochtukanoan-Yahuna-577_seed-1	6 7 1 7 5 7 1 7	AXBYBYBZ	JAPYRIKA	6	6.J.C 6.A.V 6.P.C 6.Y.V 6.R.C 6.I.V 6.K.C 6.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	japuɺika	0	1881
1806	seize	seize	kochtukanoan	K-Desano	desa1247	yéāli	yéāli	j e a a ɺ i	kochtukanoan-Desano-754_seize-1	6 7 7 7 5 7	AXYYBZ	JEAARI	4	4.J.C 4.E.V 4.A.V 4.A.V 4.R.C 4.I.V	2.0 1.5 1.3 1.3 1.75 0.8	jeaaɺi	0	1883
382	sew	sew	hubercolumbian	H-Desano	desa1247	eá	eá	e a	hubercolumbian-Desano-357_sew-1	7 7	XZ	EA	1	1.E.V 1.A.V	1.5 0.8	ea	0	1884
769	sew	sew	hubercolumbian	H-Siriano	siri1274	eá	eá	e a	hubercolumbian-Siriano-357_sew-1	7 7	XZ	EA	2	2.E.V 2.A.V	1.5 0.8	ea	0	1884
