ID	CONCEPT	CONCEPT_IN_SOURCE	DATASET	DOCULECT	GLOTTOCODE	VALUE	FORM	TOKENS	LID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
2320	I am hungry	I am hungry	kochtukanoan	K-Yupua	jupu1235	yee̥bóodyée̥	yee̥bóodyée̥	j e ɨ b ɔ ɔ dʒ e ɨ	kochtukanoan-Yupua-760_iamhungry-1	6 7 7 1 7 7 1 7 7	AXYBYYBYZ	JEIPUUTEI	7	7.J.C 7.E.V 7.I.V 7.P.C 7.U.V 7.U.V 7.T.C 7.E.V 7.I.V	2.0 1.5 1.3 1.75 1.3 1.3 1.75 1.3 0.8	jeɨbɔɔdʒeɨ	0	1
2344	I cut with my knife	I cut with my knife	kochtukanoan	K-Yupua	jupu1235	ya(d)yé̥ipahi nii yé̥isu	yayé̥ipahi_nii_yé̥isu	j a j ɨ i p a h i + n i i + j ɨ i s u	kochtukanoan-Yupua-797_icutwithmyknife-1	6 7 6 7 7 1 7 3 7 9 4 7 7 9 6 7 7 3 7	AXBYYBYBZ_AXZ_AXYBZ	JAJIIPAHI_NII_JIISY	7	7.J.C 7.A.V 7.J.C 7.I.V 7.I.V 7.P.C 7.A.V 7.H.C 7.I.V 7._._ 7.N.C 7.I.V 7.I.V 7._._ 7.J.C 7.I.V 7.I.V 7.S.C 7.Y.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8 0.0 2.0 1.5 0.8 0.0 2.0 1.5 1.3 1.75 0.8	jajɨipahi+nii+jɨisu	0	2
2334	I go to you	I go to you	kochtukanoan	K-Yupua	jupu1235	mé̥e̥pe̠e̠ yee̥uaatoho	mé̥e̥pe̠e̠_yee̥uaatoho	m ɨ ɨ p ɛ ɛ + j e ɨ w a a t ɔ h ɔ	kochtukanoan-Yupua-771_igotoyou-1	4 7 7 1 7 7 9 6 7 7 6 7 7 1 7 3 7	AXYBYZ_AXYBYYBYBZ	MIIPEE_JEIWAATUHU	7	7.M.C 7.I.V 7.I.V 7.P.C 7.E.V 7.E.V 7._._ 7.J.C 7.E.V 7.I.V 7.W.C 7.A.V 7.A.V 7.T.C 7.U.V 7.H.C 7.U.V	2.0 1.5 1.3 1.75 1.3 0.8 0.0 2.0 1.5 1.3 1.75 1.3 1.3 1.75 1.3 1.75 0.8	mɨɨpɛɛ+jeɨwaatɔhɔ	0	3
2335	I go to you	I go to you	kochtukanoan	K-Yupua	jupu1235	yée̥ uá(a)ge̥ apé̠na	yée̥_uáge̥_apé̠na	j e ɨ + w a g ɨ + a p ɛ n a	kochtukanoan-Yupua-771_igotoyou-2	6 7 7 9 6 7 1 7 9 7 1 7 4 7	AXZ_AXBZ_XBYBZ	JEI_WAKI_APENA	7	7.J.C 7.E.V 7.I.V 7._._ 7.W.C 7.A.V 7.K.C 7.I.V 7._._ 7.A.V 7.P.C 7.E.V 7.N.C 7.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8 0.0 1.5 1.75 1.3 1.75 0.8	jeɨ+wagɨ+apɛna	0	4
3082	I swing in the hammock	I swing in the hammock	kochtukanoan	K-Yahuna	yahu1241	yibáukuni	yibáukuni	j i b a u k u n i	kochtukanoan-Yahuna-787_iswinginthehammock-1	6 7 1 7 7 1 7 4 7	AXBYYBYBZ	JIPAYKYNI	6	6.J.C 6.I.V 6.P.C 6.A.V 6.Y.V 6.K.C 6.Y.V 6.N.C 6.I.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	jibaukuni	0	5
3083	I swing in the hammock	I swing in the hammock	kochtukanoan	K-Yahuna	yahu1241	yibáu(i)kuni	yibáukuni	j i b a u k u n i	kochtukanoan-Yahuna-787_iswinginthehammock-2	6 7 1 7 7 1 7 4 7	AXBYYBYBZ	JIPAYKYNI	6	6.J.C 6.I.V 6.P.C 6.A.V 6.Y.V 6.K.C 6.Y.V 6.N.C 6.I.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	jibaukuni	1	5
1833	I want to sleep	I want to sleep	kochtukanoan	K-Desano	desa1247	kalī́(t)x̯e̥ kānioi̯y(e)ā́ni	kalī́x̯e̥_kānioi̯yā́ni	k a ɺ i i tʃ ɨ + k a a n i ɔ i j a a n i	kochtukanoan-Desano-791_iwanttosleep-1	1 7 5 7 7 1 7 9 1 7 7 4 7 7 7 6 7 7 4 7	AXBYYBZ_AXYBYYYBYYBZ	KARIITI_KAANIUIJAANI	4	4.K.C 4.A.V 4.R.C 4.I.V 4.I.V 4.T.C 4.I.V 4._._ 4.K.C 4.A.V 4.A.V 4.N.C 4.I.V 4.U.V 4.I.V 4.J.C 4.A.V 4.A.V 4.N.C 4.I.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8 0.0 2.0 1.5 1.3 1.75 1.3 1.3 1.3 1.75 1.3 1.3 1.75 0.8	kaɺiitʃɨ+kaaniɔijaani	0	6
3085	I want to sleep	I want to sleep	kochtukanoan	K-Yahuna	yahu1241	mikā́be̠	mikā́be̠	m i k a a b ɛ	kochtukanoan-Yahuna-791_iwanttosleep-1	4 7 1 7 7 1 7	AXBYYBZ	MIKAAPE	6	6.M.C 6.I.V 6.K.C 6.A.V 6.A.V 6.P.C 6.E.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	mikaabɛ	0	8
3474	I want to sleep	I want to sleep	kochtukanoan	K-Koretu	cure1236	hõkiahá	hõkiahá	h ɔ̃ k i a h a	kochtukanoan-Koretu-791_iwanttosleep-1	3 7 1 7 7 3 7	AXBYYBZ	HUKIAHA	5	5.H.C 5.U.V 5.K.C 5.I.V 5.A.V 5.H.C 5.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	hɔ̃kiaha	0	7
2311	I want water	I want water	kochtukanoan	K-Yupua	jupu1235	de̠(x̯)kó i(t)x̯é̥	de̠kó_ix̯é̥	d ɛ k ɔ + i tʃ ɨ	kochtukanoan-Yupua-750_iwantwater-1	1 7 1 7 9 7 1 7	AXBZ_XBZ	TEKU_ITI	7	7.T.C 7.E.V 7.K.C 7.U.V 7._._ 7.I.V 7.T.C 7.I.V	2.0 1.5 1.75 0.8 0.0 1.5 1.75 0.8	dɛkɔ+itʃɨ	0	9
2336	I'm sick	I'm sick	kochtukanoan	K-Yupua	jupu1235	tū(d)yadīyee̥	tūyadīyee̥	t u u j a d i i j e ɨ	kochtukanoan-Yupua-774_imsick-1	1 7 7 6 7 1 7 7 6 7 7	AXYBYBYYBYZ	TYYJATIIJEI	7	7.T.C 7.Y.V 7.Y.V 7.J.C 7.A.V 7.T.C 7.I.V 7.I.V 7.J.C 7.E.V 7.I.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.3 1.75 1.3 0.8	tuujadiijeɨ	0	10
2538	Rio Apapóris	Rio Apapóris	kochtukanoan	K-Yahuna	yahu1241	apapulí	apapulí	a p a p u ɺ i	kochtukanoan-Yahuna-158_rioapaporis-1	7 1 7 1 7 5 7	XBYBYBZ	APAPYRI	6	6.A.V 6.P.C 6.A.V 6.P.C 6.Y.V 6.R.C 6.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	apapuɺi	0	11
2536	Rio Japurá	Rio Japurá	kochtukanoan	K-Yahuna	yahu1241	gamauḗni	gamauḗni	g a m a w e e n i	kochtukanoan-Yahuna-157_riojapura-1	1 7 4 7 6 7 7 4 7	AXBYBYYBZ	KAMAWEENI	6	6.K.C 6.A.V 6.M.C 6.A.V 6.W.C 6.E.V 6.E.V 6.N.C 6.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.3 1.75 0.8	gamaweeni	0	12
2537	Rio Japurá	Rio Japurá	kochtukanoan	K-Yahuna	yahu1241	gamawḗni	gamawḗni	g a m a w e e n i	kochtukanoan-Yahuna-157_riojapura-2	1 7 4 7 6 7 7 4 7	AXBYBYYBZ	KAMAWEENI	6	6.K.C 6.A.V 6.M.C 6.A.V 6.W.C 6.E.V 6.E.V 6.N.C 6.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.3 1.75 0.8	gamaweeni	1	12
2535	Rio Solimões	Rio Solimões	kochtukanoan	K-Yahuna	yahu1241	u'kádyali	u'kádyali	u ʔ k a dʒ a ɺ i	kochtukanoan-Yahuna-156_riosolimoes-1	7 1 1 7 1 7 5 7	XMBYBYBZ	YHKATARI	6	6.Y.V 6.H.c 6.K.C 6.A.V 6.T.C 6.A.V 6.R.C 6.I.V	1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	uʔkadʒaɺi	0	13
2703	Yuruparý dance festival	Yuruparý dance festival	kochtukanoan	K-Yahuna	yahu1241	ué̠koa malā́bē̠na	ué̠koa_malā́bē̠na	w ɛ k ɔ a + m a ɺ a a b ɛ ɛ n a	kochtukanoan-Yahuna-322_yuruparydancefestival-1	6 7 1 7 7 9 4 7 5 7 7 1 7 7 4 7	AXBYZ_AXBYYBYYBZ	WEKUA_MARAAPEENA	6	6.W.C 6.E.V 6.K.C 6.U.V 6.A.V 6._._ 6.M.C 6.A.V 6.R.C 6.A.V 6.A.V 6.P.C 6.E.V 6.E.V 6.N.C 6.A.V	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.3 1.75 0.8	wɛkɔa+maɺaabɛɛna	0	14
2299	a burnt house	a burnt house	kochtukanoan	K-Yupua	jupu1235	ue̥é̥ uhúā(d)ya	ue̥é̥_uhúāya	w ɨ ɨ + u h u a a j a	kochtukanoan-Yupua-731_aburnthouse-1	6 7 7 9 7 3 7 7 7 6 7	AXZ_XBYYYBZ	WII_YHYAAJA	7	7.W.C 7.I.V 7.I.V 7._._ 7.Y.V 7.H.C 7.Y.V 7.A.V 7.A.V 7.J.C 7.A.V	2.0 1.5 0.8 0.0 1.5 1.75 1.3 1.3 1.3 1.75 0.8	wɨɨ+uhuaaja	0	15
1696	a little	a little	kochtukanoan	K-Desano	desa1247	āminiḗ̠ga	āminiḗ̠ga	a a m i n i ɛ ɛ g a	kochtukanoan-Desano-647_alittle-1	7 7 4 7 4 7 7 7 1 7	XYBYBYYYBZ	AAMINIEEKA	4	4.A.V 4.A.V 4.M.C 4.I.V 4.N.C 4.I.V 4.E.V 4.E.V 4.K.C 4.A.V	1.5 1.3 1.75 1.3 1.75 1.3 1.3 1.3 1.75 0.8	aaminiɛɛga	0	16
2228	a little	a little	kochtukanoan	K-Yupua	jupu1235	(t)si(i)áa(d)ya	siáaya	s i a a j a	kochtukanoan-Yupua-647_alittle-1	3 7 7 7 6 7	AXYYBZ	SIAAJA	7	7.S.C 7.I.V 7.A.V 7.A.V 7.J.C 7.A.V	2.0 1.5 1.3 1.3 1.75 0.8	siaaja	1	19
2985	a little	a little	kochtukanoan	K-Yahuna	yahu1241	kōpahe̠ká	kōpahe̠ká	k ɔ ɔ p a h ɛ k a	kochtukanoan-Yahuna-647_alittle-1	1 7 7 1 7 3 7 1 7	AXYBYBYBZ	KUUPAHEKA	6	6.K.C 6.U.V 6.U.V 6.P.C 6.A.V 6.H.C 6.E.V 6.K.C 6.A.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.75 0.8	kɔɔpahɛka	0	18
3385	a little	a little	kochtukanoan	K-Koretu	cure1236	yóḥe̠	yóḥe̠	j ɔ h ɛ	kochtukanoan-Koretu-647_alittle-1	6 7 3 7	AXBZ	JUHE	5	5.J.C 5.U.V 5.H.C 5.E.V	2.0 1.5 1.75 0.8	jɔhɛ	0	17
1675	abíu	abíu	kochtukanoan	K-Desano	desa1247	ex̯tóga	ex̯tóga	e h t ɔ g a	kochtukanoan-Desano-603_abiu-1	7 3 1 7 1 7	XMBYBZ	EHTUKA	4	4.E.V 4.H.c 4.T.C 4.U.V 4.K.C 4.A.V	1.5 1.1 1.75 1.3 1.75 0.8	ehtɔga	0	20
2951	abíu	abíu	kochtukanoan	K-Yahuna	yahu1241	kā́laga	kā́laga	k a a ɺ a g a	kochtukanoan-Yahuna-603_abiu-1	1 7 7 5 7 1 7	AXYBYBZ	KAARAKA	6	6.K.C 6.A.V 6.A.V 6.R.C 6.A.V 6.K.C 6.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	kaaɺaga	0	21
1594	acará	acará	kochtukanoan	K-Desano	desa1247	uali	uali	w a ɺ i	kochtukanoan-Desano-507_acara-1	6 7 5 7	AXBZ	WARI	4	4.W.C 4.A.V 4.R.C 4.I.V	2.0 1.5 1.75 0.8	waɺi	0	22
2158	acará	acará	kochtukanoan	K-Yupua	jupu1235	uā́li	uā́li	w a a ɺ i	kochtukanoan-Yupua-507_acara-1	6 7 7 5 7	AXYBZ	WAARI	7	7.W.C 7.A.V 7.A.V 7.R.C 7.I.V	2.0 1.5 1.3 1.75 0.8	waaɺi	0	22
580	achiote	achiote	hubercolumbian	H-Siriano	siri1274	bũsã́	bũsã́	b ũ s ã	hubercolumbian-Siriano-170_achiote-1	1 7 3 7	AXBZ	PYSA	2	2.P.C 2.Y.V 2.S.C 2.A.V	2.0 1.5 1.75 0.8	bũsã	0	23
965	achiote	achiote	hubercolumbian	H-Tanimuca	tani1257	bũha	bũha	b ũ h a	hubercolumbian-Tanimuca-170_achiote-1	1 7 3 7	AXBZ	PYHA	3	3.P.C 3.Y.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	bũha	0	23
1682	achiote	achiote	kochtukanoan	K-Desano	desa1247	moxtsá	moxtsá	m ɔ h ts a	kochtukanoan-Desano-621_achiote-1	4 7 3 2 7	AXMBZ	MUHCA	4	4.M.C 4.U.V 4.H.c 4.C.C 4.A.V	2.0 1.5 1.1 1.75 0.8	mɔhtsa	0	25
2222	achiote	achiote	kochtukanoan	K-Yupua	jupu1235	mó(x)sa	mósa	m ɔ s a	kochtukanoan-Yupua-621_achiote-1	4 7 3 7	AXBZ	MUSA	7	7.M.C 7.U.V 7.S.C 7.A.V	2.0 1.5 1.75 0.8	mɔsa	0	25
2972	achiote	achiote	kochtukanoan	K-Yahuna	yahu1241	muhá	muhá	m u h a	kochtukanoan-Yahuna-621_achiote-1	4 7 3 7	AXBZ	MYHA	6	6.M.C 6.Y.V 6.H.C 6.A.V	2.0 1.5 1.75 0.8	muha	0	25
3379	achiote	achiote	kochtukanoan	K-Koretu	cure1236	muxtā́re̥	muxtā́re̥	m u h t a a ɾ ɨ	kochtukanoan-Koretu-621_achiote-1	4 7 3 1 7 7 5 7	AXMBYYBZ	MYHTAARI	5	5.M.C 5.Y.V 5.H.c 5.T.C 5.A.V 5.A.V 5.R.C 5.I.V	2.0 1.5 1.1 1.75 1.3 1.3 1.75 0.8	muhtaaɾɨ	0	25
641	adam's apple	adam's apple	hubercolumbian	H-Siriano	siri1274	werédirú	werédirú	w e r e d i r u	hubercolumbian-Siriano-238_adamsapple-1	6 7 5 7 1 7 5 7	AXBYBYBZ	WERETIRY	2	2.W.C 2.E.V 2.R.C 2.E.V 2.T.C 2.I.V 2.R.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	werediru	0	26
127	agouti	agouti	hubercolumbian	H-Desano	desa1247	buí	buí	b u i	hubercolumbian-Desano-117_agouti-1	1 7 7	AXZ	PYI	1	1.P.C 1.Y.V 1.I.V	2.0 1.5 0.8	bui	0	27
525	agouti	agouti	hubercolumbian	H-Siriano	siri1274	buí	buí	b u i	hubercolumbian-Siriano-117_agouti-1	1 7 7	AXZ	PYI	2	2.P.C 2.Y.V 2.I.V	2.0 1.5 0.8	bui	0	27
909	agouti	agouti	hubercolumbian	H-Tanimuca	tani1257	buia	buia	b u i a	hubercolumbian-Tanimuca-117_agouti-1	1 7 7 7	AXYZ	PYIA	3	3.P.C 3.Y.V 3.I.V 3.A.V	2.0 1.5 1.3 0.8	buia	0	27
2103	agutiuaya	agutiuaya	kochtukanoan	K-Yupua	jupu1235	bó(x)so	bóso	b ɔ s ɔ	kochtukanoan-Yupua-421_agutiuaya-1	1 7 3 7	AXBZ	PUSU	7	7.P.C 7.U.V 7.S.C 7.U.V	2.0 1.5 1.75 0.8	bɔsɔ	0	28
2779	agutiuaya	agutiuaya	kochtukanoan	K-Yahuna	yahu1241	bohó	bohó	b ɔ h ɔ	kochtukanoan-Yahuna-421_agutiuaya-1	1 7 3 7	AXBZ	PUHU	6	6.P.C 6.U.V 6.H.C 6.U.V	2.0 1.5 1.75 0.8	bɔhɔ	0	28
1524	agutí	agutí	kochtukanoan	K-Desano	desa1247	bui	bui	b u i	kochtukanoan-Desano-420_aguti-1	1 7 7	AXZ	PYI	4	4.P.C 4.Y.V 4.I.V	2.0 1.5 0.8	bui	0	29
2102	agutí	agutí	kochtukanoan	K-Yupua	jupu1235	búi	búi	b u i	kochtukanoan-Yupua-420_aguti-1	1 7 7	AXZ	PYI	7	7.P.C 7.Y.V 7.I.V	2.0 1.5 0.8	bui	0	29
2778	agutí	agutí	kochtukanoan	K-Yahuna	yahu1241	būía	būía	b u u i a	kochtukanoan-Yahuna-420_aguti-1	1 7 7 7 7	AXYYZ	PYYIA	6	6.P.C 6.Y.V 6.Y.V 6.I.V 6.A.V	2.0 1.5 1.3 1.3 0.8	buuia	0	29
3276	agutí	agutí	kochtukanoan	K-Koretu	cure1236	b(o)óto	bóto	b ɔ t ɔ	kochtukanoan-Koretu-420_aguti-1	1 7 1 7	AXBZ	PUTU	5	5.P.C 5.U.V 5.T.C 5.U.V	2.0 1.5 1.75 0.8	bɔtɔ	0	30
271	all	all	hubercolumbian	H-Desano	desa1247	ã́rĩ́peʔrerã	ã́rĩ́peʔrerã	ã r ĩ p e ʔ r e r ã	hubercolumbian-Desano-261_all-1	7 5 7 1 7 1 5 7 5 7	XBYBYBCYBZ	ARIPEHRERA	1	1.A.V 1.R.C 1.I.V 1.P.C 1.E.V 1.H.C 1.R.C 1.E.V 1.R.C 1.A.V	1.5 1.75 1.3 1.75 1.3 1.75 1.5 1.3 1.75 0.8	ãrĩpeʔrerã	0	31
663	all	all	hubercolumbian	H-Siriano	siri1274	ããrĩpeʔrérã	ããrĩpeʔrérã	ã ã r ĩ p e ʔ r e r ã	hubercolumbian-Siriano-261_all-1	7 7 5 7 1 7 1 5 7 5 7	XYBYBYBCYBZ	AARIPEHRERA	2	2.A.V 2.A.V 2.R.C 2.I.V 2.P.C 2.E.V 2.H.C 2.R.C 2.E.V 2.R.C 2.A.V	1.5 1.3 1.75 1.3 1.75 1.3 1.75 1.5 1.3 1.75 0.8	ããrĩpeʔrerã	0	31
1049	all	all	hubercolumbian	H-Tanimuca	tani1257	ritaha	ritaha	r i t a h a	hubercolumbian-Tanimuca-261_all-1	5 7 1 7 3 7	AXBYBZ	RITAHA	3	3.R.C 3.I.V 3.T.C 3.A.V 3.H.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	ritaha	0	33
1700	all	all	kochtukanoan	K-Desano	desa1247	pahā́nika	pahā́nika	p a h a a n i k a	kochtukanoan-Desano-651_all-1	1 7 3 7 7 4 7 1 7	AXBYYBYBZ	PAHAANIKA	4	4.P.C 4.A.V 4.H.C 4.A.V 4.A.V 4.N.C 4.I.V 4.K.C 4.A.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	pahaanika	0	34
2232	all	all	kochtukanoan	K-Yupua	jupu1235	du(x)hā(d)yá	duhāyá	d u h a a j a	kochtukanoan-Yupua-651_all-1	1 7 3 7 7 6 7	AXBYYBZ	TYHAAJA	7	7.T.C 7.Y.V 7.H.C 7.A.V 7.A.V 7.J.C 7.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	duhaaja	0	37
2987	all	all	kochtukanoan	K-Yahuna	yahu1241	lí(x̯)taha	lítaha	ɺ i t a h a	kochtukanoan-Yahuna-651_all-1	5 7 1 7 3 7	AXBYBZ	RITAHA	6	6.R.C 6.I.V 6.T.C 6.A.V 6.H.C 6.A.V	2.0 1.5 1.75 1.3 1.75 0.8	ɺitaha	0	33
3389	all	all	kochtukanoan	K-Koretu	cure1236	tirítote̠	tirítote̠	t i ɾ i t ɔ t ɛ	kochtukanoan-Koretu-651_all-1	1 7 5 7 1 7 1 7	AXBYBYBZ	TIRITUTE	5	5.T.C 5.I.V 5.R.C 5.I.V 5.T.C 5.U.V 5.T.C 5.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	tiɾitɔtɛ	0	33
1596	alligator	alligator	kochtukanoan	K-Desano	desa1247	diákea	diákea	d i a k e a	kochtukanoan-Desano-515_alligator-1	1 7 7 1 7 7	AXYBYZ	TIAKEA	4	4.T.C 4.I.V 4.A.V 4.K.C 4.E.V 4.A.V	2.0 1.5 1.3 1.75 1.3 0.8	diakea	1	38
2160	alligator	alligator	kochtukanoan	K-Yupua	jupu1235	áūli	áūli	a u u ɺ i	kochtukanoan-Yupua-515_alligator-1	7 7 7 5 7	XYYBZ	AYYRI	7	7.A.V 7.Y.V 7.Y.V 7.R.C 7.I.V	1.5 1.3 1.3 1.75 0.8	auuɺi	0	41
2864	alligator	alligator	kochtukanoan	K-Yahuna	yahu1241	gáhua	gáhua	g a h u a	kochtukanoan-Yahuna-515_alligator-1	1 7 3 7 7	AXBYZ	KAHYA	6	6.K.C 6.A.V 6.H.C 6.Y.V 6.A.V	2.0 1.5 1.75 1.3 0.8	gahua	0	40
2865	alligator	alligator	kochtukanoan	K-Yahuna	yahu1241	gáhue	gáhue	g a h u e	kochtukanoan-Yahuna-515_alligator-2	1 7 3 7 7	AXBYZ	KAHYE	6	6.K.C 6.A.V 6.H.C 6.Y.V 6.E.V	2.0 1.5 1.75 1.3 0.8	gahue	0	40
3323	alligator	alligator	kochtukanoan	K-Koretu	cure1236	ualíase̥	ualíase̥	w a ɺ i a s ɨ	kochtukanoan-Koretu-515_alligator-1	6 7 5 7 7 3 7	AXBYYBZ	WARIASI	5	5.W.C 5.A.V 5.R.C 5.I.V 5.A.V 5.S.C 5.I.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	waɺiasɨ	0	39
136	anaconda (water boa)	anaconda, water boa	hubercolumbian	H-Desano	desa1247	pĩrṹ	pĩrṹ	p ĩ r ũ	hubercolumbian-Desano-123_anacondawaterboa-1	1 7 5 7	AXBZ	PIRY	1	1.P.C 1.I.V 1.R.C 1.Y.V	2.0 1.5 1.75 0.8	pĩrũ	0	42
531	anaconda (water boa)	anaconda, water boa	hubercolumbian	H-Siriano	siri1274	pĩrṹ	pĩrṹ	p ĩ r ũ	hubercolumbian-Siriano-123_anacondawaterboa-1	1 7 5 7	AXBZ	PIRY	2	2.P.C 2.I.V 2.R.C 2.Y.V	2.0 1.5 1.75 0.8	pĩrũ	0	42
915	anaconda (water boa)	anaconda, water boa	hubercolumbian	H-Tanimuca	tani1257	ãjãpakiaka	ãjãpakiaka	ã j ã p a k i a k a	hubercolumbian-Tanimuca-123_anacondawaterboa-1	7 6 7 1 7 1 7 7 1 7	XBYBYBYYBZ	AJAPAKIAKA	3	3.A.V 3.J.C 3.A.V 3.P.C 3.A.V 3.K.C 3.I.V 3.A.V 3.K.C 3.A.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.3 1.75 0.8	ãjãpakiaka	0	44
2817	anacoró	anacoró	kochtukanoan	K-Yahuna	yahu1241	kolópagá	kolópagá	k ɔ ɺ ɔ p a g a	kochtukanoan-Yahuna-464_anacoro-1	1 7 5 7 1 7 1 7	AXBYBYBZ	KURUPAKA	6	6.K.C 6.U.V 6.R.C 6.U.V 6.P.C 6.A.V 6.K.C 6.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kɔɺɔpaga	0	45
1549	anacã	anacã	kochtukanoan	K-Desano	desa1247	doé	doé	d ɔ e	kochtukanoan-Desano-447_anaca-1	1 7 7	AXZ	TUE	4	4.T.C 4.U.V 4.E.V	2.0 1.5 0.8	dɔe	0	46
2800	anacã	anacã	kochtukanoan	K-Yahuna	yahu1241	oalákaka	oalákaka	ɔ a ɺ a k a k a	kochtukanoan-Yahuna-447_anaca-1	7 7 5 7 1 7 1 7	XYBYBYBZ	UARAKAKA	6	6.U.V 6.A.V 6.R.C 6.A.V 6.K.C 6.A.V 6.K.C 6.A.V	1.5 1.3 1.75 1.3 1.75 1.3 1.75 0.8	ɔaɺakaka	0	47
3296	anacã	anacã	kochtukanoan	K-Koretu	cure1236	uarákie̥	uarákie̥	w a ɾ a k i ɨ	kochtukanoan-Koretu-447_anaca-1	6 7 5 7 1 7 7	AXBYBYZ	WARAKII	5	5.W.C 5.A.V 5.R.C 5.A.V 5.K.C 5.I.V 5.I.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	waɾakiɨ	0	47
1229	ankle	ankle	kochtukanoan	K-Desano	desa1247	ā̃nyã́nyaru	ā̃nyã́nyaru	ã ã ɲ ã ɲ a ɾ u	kochtukanoan-Desano-49_ankle-1	7 7 4 7 4 7 5 7	XYBYBYBZ	AANANARY	4	4.A.V 4.A.V 4.N.C 4.A.V 4.N.C 4.A.V 4.R.C 4.Y.V	1.5 1.3 1.75 1.3 1.75 1.3 1.75 0.8	ããɲãɲaɾu	0	48
2418	ankle	ankle	kochtukanoan	K-Yahuna	yahu1241	ūpuálikaka	ūpuálikaka	u u p u a ɺ i k a k a	kochtukanoan-Yahuna-49_ankle-1	7 7 1 7 7 5 7 1 7 1 7	XYBYYBYBYBZ	YYPYARIKAKA	6	6.Y.V 6.Y.V 6.P.C 6.Y.V 6.A.V 6.R.C 6.I.V 6.K.C 6.A.V 6.K.C 6.A.V	1.5 1.3 1.75 1.3 1.3 1.75 1.3 1.75 1.3 1.75 0.8	uupuaɺikaka	0	49
159	ant	ant	hubercolumbian	H-Desano	desa1247	bẽgã́	bẽgã́	b ẽ g ã	hubercolumbian-Desano-146_ant-1	1 7 1 7	AXBZ	PEKA	1	1.P.C 1.E.V 1.K.C 1.A.V	2.0 1.5 1.75 0.8	bẽgã	0	50
556	ant	ant	hubercolumbian	H-Siriano	siri1274	pũtĩ́rãbĩ̵	pũtĩ́rãbĩ̵	p ũ t ĩ r ã b ɨ̃	hubercolumbian-Siriano-146_ant-1	1 7 1 7 5 7 1 7	AXBYBYBZ	PYTIRAPI	2	2.P.C 2.Y.V 2.T.C 2.I.V 2.R.C 2.A.V 2.P.C 2.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	pũtĩrãbɨ̃	0	51
941	ant	ant	hubercolumbian	H-Tanimuca	tani1257	bẽkaka	bẽkaka	b ẽ k a k a	hubercolumbian-Tanimuca-146_ant-1	1 7 1 7 1 7	AXBYBZ	PEKAKA	3	3.P.C 3.E.V 3.K.C 3.A.V 3.K.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	bẽkaka	0	50
1611	ant	ant	kochtukanoan	K-Desano	desa1247	ē̠má	ē̠má	ɛ ɛ m a	kochtukanoan-Desano-532_ant-1	7 7 4 7	XYBZ	EEMA	4	4.E.V 4.E.V 4.M.C 4.A.V	1.5 1.3 1.75 0.8	ɛɛma	0	53
2169	ant	ant	kochtukanoan	K-Yupua	jupu1235	ī́mu	ī́mu	i i m u	kochtukanoan-Yupua-532_ant-1	7 7 4 7	XYBZ	IIMY	7	7.I.V 7.I.V 7.M.C 7.Y.V	1.5 1.3 1.75 0.8	iimu	0	53
2880	ant	ant	kochtukanoan	K-Yahuna	yahu1241	ē̠múa	ē̠múa	ɛ ɛ m u a	kochtukanoan-Yahuna-532_ant-1	7 7 4 7 7	XYBYZ	EEMYA	6	6.E.V 6.E.V 6.M.C 6.Y.V 6.A.V	1.5 1.3 1.75 1.3 0.8	ɛɛmua	0	53
